year,Aurea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,7
1920,7
1921,0
1922,7
1923,0
1924,6
1925,7
1926,6
1927,7
1928,7
1929,6
1930,5
1931,5
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,9
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,11
1950,7
1951,14
1952,6
1953,13
1954,6
1955,8
1956,21
1957,10
1958,11
1959,16
1960,10
1961,18
1962,16
1963,23
1964,13
1965,17
1966,13
1967,17
1968,14
1969,18
1970,20
1971,18
1972,12
1973,11
1974,15
1975,18
1976,15
1977,12
1978,13
1979,17
1980,15
1981,10
1982,18
1983,11
1984,11
1985,16
1986,8
1987,13
1988,14
1989,11
1990,8
1991,18
1992,20
1993,10
1994,13
1995,16
1996,9
1997,7
1998,16
1999,12
2000,10
2001,15
2002,8
2003,14
2004,7
2005,9
2006,9
2007,20
2008,17
2009,16
2010,14
2011,20
2012,11
