year,Alvera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,8
1900,0
1901,17
1902,7
1903,13
1904,11
1905,10
1906,17
1907,25
1908,15
1909,11
1910,27
1911,20
1912,33
1913,49
1914,50
1915,89
1916,88
1917,107
1918,113
1919,90
1920,105
1921,84
1922,104
1923,92
1924,83
1925,91
1926,85
1927,67
1928,74
1929,69
1930,65
1931,48
1932,42
1933,37
1934,37
1935,32
1936,28
1937,35
1938,23
1939,24
1940,23
1941,24
1942,18
1943,25
1944,18
1945,20
1946,21
1947,20
1948,17
1949,24
1950,17
1951,22
1952,18
1953,15
1954,15
1955,18
1956,17
1957,14
1958,11
1959,7
1960,10
1961,13
1962,10
1963,6
1964,10
1965,7
1966,0
1967,7
1968,6
1969,0
1970,8
1971,6
1972,0
1973,9
1974,0
1975,0
1976,0
1977,0
1978,5
1979,6
1980,8
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
