year,Antone (F),Antone (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000027
1883,0.000000,0.000041
1884,0.000000,0.000029
1885,0.000000,0.000058
1886,0.000000,0.000047
1887,0.000000,0.000040
1888,0.000000,0.000037
1889,0.000000,0.000045
1890,0.000000,0.000053
1891,0.000000,0.000063
1892,0.000000,0.000036
1893,0.000000,0.000018
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000036
1897,0.000000,0.000037
1898,0.000000,0.000021
1899,0.000000,0.000024
1900,0.000000,0.000027
1901,0.000000,0.000043
1902,0.000000,0.000026
1903,0.000000,0.000037
1904,0.000000,0.000047
1905,0.000000,0.000019
1906,0.000000,0.000021
1907,0.000000,0.000030
1908,0.000000,0.000039
1909,0.000000,0.000029
1910,0.000000,0.000037
1911,0.000000,0.000047
1912,0.000000,0.000045
1913,0.000000,0.000060
1914,0.000000,0.000070
1915,0.000000,0.000062
1916,0.000000,0.000066
1917,0.000000,0.000064
1918,0.000000,0.000056
1919,0.000000,0.000059
1920,0.000000,0.000054
1921,0.000000,0.000057
1922,0.000000,0.000052
1923,0.000000,0.000046
1924,0.000000,0.000042
1925,0.000000,0.000041
1926,0.000000,0.000036
1927,0.000000,0.000037
1928,0.000000,0.000031
1929,0.000000,0.000025
1930,0.000000,0.000030
1931,0.000000,0.000023
1932,0.000000,0.000019
1933,0.000000,0.000025
1934,0.000000,0.000021
1935,0.000000,0.000023
1936,0.000000,0.000016
1937,0.000000,0.000016
1938,0.000000,0.000021
1939,0.000000,0.000012
1940,0.000000,0.000018
1941,0.000000,0.000021
1942,0.000000,0.000015
1943,0.000000,0.000018
1944,0.000000,0.000021
1945,0.000000,0.000016
1946,0.000000,0.000012
1947,0.000000,0.000011
1948,0.000000,0.000011
1949,0.000000,0.000017
1950,0.000000,0.000013
1951,0.000000,0.000014
1952,0.000000,0.000011
1953,0.000000,0.000014
1954,0.000000,0.000013
1955,0.000000,0.000012
1956,0.000000,0.000009
1957,0.000000,0.000009
1958,0.000000,0.000008
1959,0.000000,0.000012
1960,0.000000,0.000012
1961,0.000000,0.000011
1962,0.000000,0.000008
1963,0.000000,0.000014
1964,0.000000,0.000012
1965,0.000000,0.000011
1966,0.000000,0.000014
1967,0.000000,0.000014
1968,0.000000,0.000013
1969,0.000000,0.000017
1970,0.000000,0.000017
1971,0.000000,0.000016
1972,0.000000,0.000019
1973,0.000000,0.000014
1974,0.000000,0.000021
1975,0.000000,0.000020
1976,0.000000,0.000021
1977,0.000000,0.000014
1978,0.000000,0.000017
1979,0.000000,0.000015
1980,0.000000,0.000013
1981,0.000000,0.000016
1982,0.000000,0.000016
1983,0.000000,0.000017
1984,0.000000,0.000010
1985,0.000000,0.000010
1986,0.000000,0.000015
1987,0.000000,0.000013
1988,0.000000,0.000011
1989,0.000000,0.000010
1990,0.000000,0.000015
1991,0.000000,0.000012
1992,0.000000,0.000012
1993,0.000000,0.000011
1994,0.000001,0.000013
1995,0.000000,0.000009
1996,0.000000,0.000007
1997,0.000000,0.000010
1998,0.000000,0.000010
1999,0.000000,0.000011
2000,0.000000,0.000011
2001,0.000000,0.000008
2002,0.000001,0.000008
2003,0.000000,0.000007
2004,0.000000,0.000008
2005,0.000000,0.000009
2006,0.000000,0.000008
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000007
2010,0.000000,0.000006
2011,0.000000,0.000005
2012,0.000000,0.000005
