year,Annabel
1880,13
1881,6
1882,10
1883,8
1884,11
1885,10
1886,15
1887,13
1888,17
1889,24
1890,19
1891,16
1892,22
1893,26
1894,16
1895,15
1896,33
1897,16
1898,30
1899,24
1900,37
1901,32
1902,22
1903,26
1904,19
1905,27
1906,16
1907,34
1908,34
1909,28
1910,45
1911,51
1912,61
1913,63
1914,87
1915,112
1916,129
1917,121
1918,129
1919,124
1920,130
1921,130
1922,118
1923,118
1924,123
1925,113
1926,113
1927,93
1928,76
1929,73
1930,62
1931,61
1932,64
1933,41
1934,42
1935,33
1936,28
1937,30
1938,29
1939,39
1940,26
1941,32
1942,22
1943,22
1944,16
1945,23
1946,25
1947,29
1948,23
1949,25
1950,30
1951,24
1952,37
1953,34
1954,20
1955,26
1956,15
1957,19
1958,25
1959,31
1960,32
1961,46
1962,34
1963,35
1964,40
1965,49
1966,35
1967,40
1968,28
1969,35
1970,28
1971,39
1972,31
1973,31
1974,37
1975,45
1976,53
1977,47
1978,50
1979,42
1980,60
1981,56
1982,42
1983,49
1984,59
1985,77
1986,67
1987,78
1988,91
1989,110
1990,122
1991,106
1992,100
1993,107
1994,113
1995,130
1996,128
1997,149
1998,182
1999,194
2000,227
2001,266
2002,284
2003,280
2004,289
2005,338
2006,318
2007,360
2008,361
2009,403
2010,467
2011,537
2012,580
