year,Alonza
1880,10
1881,10
1882,10
1883,9
1884,7
1885,8
1886,15
1887,10
1888,11
1889,9
1890,5
1891,6
1892,11
1893,15
1894,10
1895,7
1896,10
1897,9
1898,10
1899,7
1900,6
1901,12
1902,7
1903,9
1904,7
1905,10
1906,12
1907,12
1908,13
1909,13
1910,19
1911,14
1912,17
1913,23
1914,26
1915,34
1916,38
1917,29
1918,42
1919,38
1920,44
1921,42
1922,35
1923,50
1924,38
1925,40
1926,44
1927,31
1928,39
1929,43
1930,44
1931,27
1932,46
1933,44
1934,34
1935,31
1936,30
1937,31
1938,31
1939,42
1940,31
1941,30
1942,42
1943,35
1944,38
1945,27
1946,47
1947,41
1948,47
1949,38
1950,55
1951,59
1952,44
1953,42
1954,52
1955,55
1956,42
1957,48
1958,42
1959,54
1960,41
1961,60
1962,52
1963,50
1964,42
1965,40
1966,36
1967,34
1968,30
1969,39
1970,38
1971,24
1972,37
1973,32
1974,28
1975,29
1976,25
1977,21
1978,26
1979,18
1980,36
1981,23
1982,15
1983,17
1984,15
1985,26
1986,23
1987,18
1988,22
1989,17
1990,19
1991,14
1992,10
1993,17
1994,8
1995,10
1996,10
1997,7
1998,14
1999,10
2000,11
2001,17
2002,5
2003,5
2004,6
2005,7
2006,5
2007,9
2008,0
2009,8
2010,0
2011,0
2012,0
