year,Art
1880,12
1881,17
1882,14
1883,7
1884,10
1885,9
1886,8
1887,10
1888,6
1889,5
1890,5
1891,8
1892,7
1893,15
1894,10
1895,7
1896,12
1897,11
1898,20
1899,15
1900,18
1901,5
1902,9
1903,7
1904,8
1905,10
1906,7
1907,11
1908,16
1909,15
1910,12
1911,9
1912,25
1913,26
1914,28
1915,39
1916,39
1917,41
1918,51
1919,39
1920,27
1921,50
1922,53
1923,47
1924,50
1925,46
1926,50
1927,61
1928,59
1929,52
1930,60
1931,61
1932,59
1933,80
1934,74
1935,83
1936,72
1937,78
1938,86
1939,90
1940,86
1941,91
1942,118
1943,119
1944,98
1945,105
1946,127
1947,110
1948,111
1949,84
1950,61
1951,46
1952,40
1953,58
1954,51
1955,61
1956,80
1957,144
1958,173
1959,162
1960,184
1961,189
1962,146
1963,149
1964,125
1965,92
1966,85
1967,60
1968,52
1969,43
1970,48
1971,43
1972,34
1973,36
1974,27
1975,25
1976,24
1977,22
1978,24
1979,23
1980,28
1981,17
1982,30
1983,21
1984,23
1985,15
1986,19
1987,19
1988,31
1989,35
1990,33
1991,28
1992,17
1993,18
1994,10
1995,13
1996,23
1997,15
1998,16
1999,18
2000,17
2001,20
2002,13
2003,10
2004,12
2005,11
2006,11
2007,15
2008,14
2009,12
2010,17
2011,10
2012,17
