year,Artie (F),Artie (M)
1880,0.000144,0.000025
1881,0.000114,0.000052
1882,0.000149,0.000081
1883,0.000124,0.000032
1884,0.000152,0.000041
1885,0.000208,0.000046
1886,0.000196,0.000047
1887,0.000186,0.000000
1888,0.000177,0.000033
1889,0.000194,0.000038
1890,0.000226,0.000053
1891,0.000195,0.000028
1892,0.000173,0.000045
1893,0.000206,0.000049
1894,0.000195,0.000047
1895,0.000182,0.000046
1896,0.000232,0.000025
1897,0.000242,0.000035
1898,0.000210,0.000029
1899,0.000215,0.000027
1900,0.000195,0.000038
1901,0.000223,0.000026
1902,0.000204,0.000039
1903,0.000171,0.000034
1904,0.000164,0.000045
1905,0.000203,0.000033
1906,0.000175,0.000035
1907,0.000178,0.000032
1908,0.000174,0.000045
1909,0.000133,0.000039
1910,0.000169,0.000037
1911,0.000155,0.000031
1912,0.000113,0.000028
1913,0.000110,0.000023
1914,0.000095,0.000023
1915,0.000084,0.000027
1916,0.000093,0.000016
1917,0.000077,0.000026
1918,0.000073,0.000020
1919,0.000075,0.000023
1920,0.000065,0.000022
1921,0.000067,0.000025
1922,0.000060,0.000023
1923,0.000063,0.000024
1924,0.000062,0.000024
1925,0.000055,0.000023
1926,0.000053,0.000026
1927,0.000056,0.000022
1928,0.000047,0.000021
1929,0.000046,0.000016
1930,0.000043,0.000022
1931,0.000048,0.000010
1932,0.000038,0.000018
1933,0.000034,0.000020
1934,0.000039,0.000021
1935,0.000036,0.000022
1936,0.000032,0.000018
1937,0.000029,0.000018
1938,0.000034,0.000019
1939,0.000034,0.000020
1940,0.000023,0.000026
1941,0.000021,0.000025
1942,0.000022,0.000018
1943,0.000021,0.000020
1944,0.000015,0.000015
1945,0.000023,0.000023
1946,0.000013,0.000017
1947,0.000013,0.000019
1948,0.000013,0.000019
1949,0.000012,0.000018
1950,0.000013,0.000018
1951,0.000009,0.000020
1952,0.000012,0.000017
1953,0.000009,0.000019
1954,0.000005,0.000017
1955,0.000008,0.000018
1956,0.000008,0.000020
1957,0.000008,0.000021
1958,0.000006,0.000019
1959,0.000006,0.000023
1960,0.000005,0.000014
1961,0.000004,0.000018
1962,0.000004,0.000019
1963,0.000005,0.000014
1964,0.000004,0.000014
1965,0.000002,0.000018
1966,0.000002,0.000011
1967,0.000004,0.000016
1968,0.000002,0.000014
1969,0.000003,0.000013
1970,0.000002,0.000012
1971,0.000003,0.000010
1972,0.000003,0.000014
1973,0.000000,0.000011
1974,0.000003,0.000011
1975,0.000000,0.000007
1976,0.000003,0.000010
1977,0.000002,0.000009
1978,0.000002,0.000008
1979,0.000000,0.000008
1980,0.000000,0.000009
1981,0.000002,0.000008
1982,0.000000,0.000008
1983,0.000000,0.000004
1984,0.000000,0.000004
1985,0.000000,0.000005
1986,0.000002,0.000003
1987,0.000001,0.000007
1988,0.000000,0.000004
1989,0.000001,0.000008
1990,0.000000,0.000005
1991,0.000000,0.000003
1992,0.000000,0.000005
1993,0.000000,0.000005
1994,0.000000,0.000004
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000001
2004,0.000000,0.000002
2005,0.000000,0.000001
2006,0.000000,0.000002
2007,0.000000,0.000003
2008,0.000000,0.000001
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000001
