year,Aristotle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,7
1926,6
1927,5
1928,6
1929,8
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,9
1970,9
1971,10
1972,6
1973,16
1974,11
1975,15
1976,5
1977,12
1978,12
1979,7
1980,8
1981,10
1982,5
1983,0
1984,7
1985,5
1986,5
1987,7
1988,11
1989,9
1990,11
1991,15
1992,21
1993,8
1994,23
1995,25
1996,18
1997,26
1998,24
1999,24
2000,17
2001,31
2002,28
2003,28
2004,16
2005,24
2006,12
2007,15
2008,18
2009,24
2010,21
2011,23
2012,22
