year,Adelina
1880,0
1881,0
1882,0
1883,0
1884,7
1885,7
1886,8
1887,9
1888,7
1889,9
1890,14
1891,15
1892,14
1893,14
1894,13
1895,13
1896,22
1897,21
1898,14
1899,17
1900,19
1901,18
1902,26
1903,18
1904,20
1905,14
1906,22
1907,16
1908,16
1909,25
1910,29
1911,26
1912,56
1913,43
1914,54
1915,61
1916,70
1917,69
1918,59
1919,83
1920,78
1921,67
1922,84
1923,74
1924,92
1925,86
1926,88
1927,62
1928,66
1929,62
1930,65
1931,49
1932,60
1933,60
1934,50
1935,56
1936,47
1937,48
1938,47
1939,47
1940,55
1941,66
1942,56
1943,53
1944,40
1945,61
1946,61
1947,63
1948,66
1949,52
1950,60
1951,56
1952,48
1953,47
1954,45
1955,49
1956,53
1957,50
1958,58
1959,53
1960,44
1961,43
1962,41
1963,42
1964,42
1965,55
1966,48
1967,44
1968,47
1969,43
1970,46
1971,50
1972,37
1973,37
1974,71
1975,44
1976,48
1977,46
1978,48
1979,49
1980,65
1981,70
1982,62
1983,48
1984,42
1985,47
1986,50
1987,44
1988,36
1989,52
1990,52
1991,56
1992,53
1993,53
1994,76
1995,82
1996,60
1997,62
1998,102
1999,106
2000,99
2001,96
2002,126
2003,121
2004,131
2005,147
2006,174
2007,215
2008,225
2009,210
2010,286
2011,296
2012,397
