year,Alvin (F),Alvin (M)
1880,0.000000,0.000506
1881,0.000000,0.000545
1882,0.000000,0.000596
1883,0.000000,0.000521
1884,0.000000,0.000596
1885,0.000000,0.000519
1886,0.000000,0.000439
1887,0.000000,0.000517
1888,0.000000,0.000524
1889,0.000000,0.000474
1890,0.000000,0.000488
1891,0.000000,0.000422
1892,0.000000,0.000490
1893,0.000000,0.000501
1894,0.000000,0.000493
1895,0.000000,0.000510
1896,0.000000,0.000512
1897,0.000000,0.000536
1898,0.000000,0.000482
1899,0.000000,0.000510
1900,0.000000,0.000495
1901,0.000000,0.000518
1902,0.000000,0.000520
1903,0.000000,0.000582
1904,0.000000,0.000612
1905,0.000000,0.000609
1906,0.000000,0.000558
1907,0.000000,0.000526
1908,0.000010,0.000628
1909,0.000000,0.000710
1910,0.000000,0.000679
1911,0.000008,0.000714
1912,0.000007,0.000940
1913,0.000000,0.001006
1914,0.000007,0.001082
1915,0.000006,0.001095
1916,0.000012,0.001082
1917,0.000011,0.001067
1918,0.000013,0.001110
1919,0.000010,0.001129
1920,0.000010,0.001115
1921,0.000008,0.001151
1922,0.000007,0.001135
1923,0.000012,0.001149
1924,0.000010,0.001158
1925,0.000008,0.001191
1926,0.000009,0.001173
1927,0.000011,0.001243
1928,0.000008,0.001216
1929,0.000014,0.001165
1930,0.000011,0.001130
1931,0.000012,0.001093
1932,0.000008,0.001077
1933,0.000005,0.001064
1934,0.000010,0.001033
1935,0.000007,0.001036
1936,0.000007,0.000947
1937,0.000002,0.000933
1938,0.000003,0.000932
1939,0.000008,0.000881
1940,0.000005,0.000830
1941,0.000005,0.000827
1942,0.000004,0.000758
1943,0.000004,0.000780
1944,0.000006,0.000730
1945,0.000004,0.000702
1946,0.000003,0.000641
1947,0.000004,0.000615
1948,0.000003,0.000658
1949,0.000003,0.000619
1950,0.000005,0.000648
1951,0.000002,0.000648
1952,0.000003,0.000615
1953,0.000004,0.000548
1954,0.000004,0.000595
1955,0.000004,0.000588
1956,0.000004,0.000590
1957,0.000006,0.000567
1958,0.000005,0.000528
1959,0.000003,0.000543
1960,0.000002,0.000480
1961,0.000003,0.000452
1962,0.000004,0.000425
1963,0.000004,0.000379
1964,0.000004,0.000376
1965,0.000003,0.000366
1966,0.000004,0.000356
1967,0.000001,0.000361
1968,0.000002,0.000329
1969,0.000003,0.000305
1970,0.000005,0.000302
1971,0.000003,0.000301
1972,0.000002,0.000281
1973,0.000003,0.000288
1974,0.000004,0.000267
1975,0.000002,0.000283
1976,0.000002,0.000253
1977,0.000002,0.000240
1978,0.000003,0.000252
1979,0.000002,0.000245
1980,0.000002,0.000252
1981,0.000002,0.000233
1982,0.000003,0.000223
1983,0.000002,0.000204
1984,0.000003,0.000198
1985,0.000004,0.000198
1986,0.000002,0.000190
1987,0.000002,0.000202
1988,0.000002,0.000186
1989,0.000002,0.000214
1990,0.000000,0.000190
1991,0.000002,0.000178
1992,0.000001,0.000165
1993,0.000000,0.000172
1994,0.000002,0.000150
1995,0.000000,0.000150
1996,0.000000,0.000137
1997,0.000000,0.000149
1998,0.000000,0.000141
1999,0.000000,0.000140
2000,0.000000,0.000137
2001,0.000000,0.000143
2002,0.000000,0.000142
2003,0.000000,0.000124
2004,0.000000,0.000125
2005,0.000000,0.000134
2006,0.000000,0.000130
2007,0.000000,0.000130
2008,0.000000,0.000166
2009,0.000000,0.000123
2010,0.000000,0.000133
2011,0.000000,0.000127
2012,0.000000,0.000138
2013,0.000000,0.000125
2014,0.000000,0.000125
2015,0.000000,0.000122
2016,0.000000,0.000128
2017,0.000000,0.000122
2018,0.000000,0.000111
2019,0.000000,0.000115
2020,0.000000,0.000112
