year,Alverta
1880,6
1881,5
1882,0
1883,0
1884,9
1885,0
1886,12
1887,6
1888,9
1889,9
1890,6
1891,11
1892,13
1893,7
1894,14
1895,8
1896,9
1897,12
1898,13
1899,15
1900,14
1901,21
1902,24
1903,31
1904,25
1905,25
1906,31
1907,22
1908,27
1909,36
1910,32
1911,33
1912,45
1913,41
1914,66
1915,74
1916,72
1917,79
1918,103
1919,82
1920,73
1921,80
1922,82
1923,70
1924,83
1925,67
1926,55
1927,54
1928,57
1929,48
1930,52
1931,34
1932,43
1933,50
1934,38
1935,29
1936,30
1937,25
1938,24
1939,28
1940,25
1941,25
1942,19
1943,21
1944,18
1945,17
1946,26
1947,13
1948,21
1949,10
1950,15
1951,11
1952,13
1953,12
1954,16
1955,16
1956,16
1957,6
1958,14
1959,12
1960,6
1961,9
1962,7
1963,10
1964,0
1965,0
1966,0
1967,9
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
