year,Anamarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,5
1959,5
1960,0
1961,5
1962,13
1963,11
1964,6
1965,5
1966,8
1967,9
1968,7
1969,10
1970,13
1971,9
1972,7
1973,14
1974,8
1975,15
1976,8
1977,12
1978,16
1979,5
1980,10
1981,9
1982,10
1983,14
1984,30
1985,25
1986,22
1987,20
1988,21
1989,28
1990,32
1991,25
1992,22
1993,26
1994,18
1995,33
1996,34
1997,23
1998,28
1999,37
2000,29
2001,29
2002,45
2003,29
2004,27
2005,34
2006,31
2007,29
2008,43
2009,38
2010,35
2011,34
2012,35
