year,Augusta (F),Augusta (M)
1880,0.000749,0.000025
1881,0.000815,0.000000
1882,0.000826,0.000000
1883,0.000982,0.000000
1884,0.000891,0.000000
1885,0.000926,0.000000
1886,0.000928,0.000020
1887,0.000893,0.000000
1888,0.000902,0.000000
1889,0.000945,0.000028
1890,0.000992,0.000020
1891,0.000893,0.000000
1892,0.000867,0.000000
1893,0.000799,0.000022
1894,0.000803,0.000021
1895,0.000820,0.000023
1896,0.000741,0.000000
1897,0.000680,0.000014
1898,0.000650,0.000016
1899,0.000672,0.000021
1900,0.000544,0.000013
1901,0.000651,0.000038
1902,0.000504,0.000026
1903,0.000538,0.000018
1904,0.000466,0.000022
1905,0.000510,0.000024
1906,0.000422,0.000026
1907,0.000458,0.000017
1908,0.000360,0.000018
1909,0.000350,0.000027
1910,0.000306,0.000015
1911,0.000298,0.000009
1912,0.000255,0.000014
1913,0.000222,0.000019
1914,0.000188,0.000014
1915,0.000201,0.000010
1916,0.000177,0.000013
1917,0.000162,0.000013
1918,0.000164,0.000008
1919,0.000137,0.000019
1920,0.000134,0.000013
1921,0.000123,0.000011
1922,0.000106,0.000016
1923,0.000109,0.000007
1924,0.000101,0.000008
1925,0.000092,0.000009
1926,0.000090,0.000015
1927,0.000078,0.000011
1928,0.000069,0.000016
1929,0.000059,0.000012
1930,0.000067,0.000013
1931,0.000060,0.000008
1932,0.000055,0.000014
1933,0.000067,0.000010
1934,0.000048,0.000007
1935,0.000047,0.000013
1936,0.000040,0.000015
1937,0.000041,0.000008
1938,0.000032,0.000008
1939,0.000035,0.000010
1940,0.000033,0.000006
1941,0.000037,0.000010
1942,0.000032,0.000007
1943,0.000031,0.000007
1944,0.000024,0.000011
1945,0.000018,0.000005
1946,0.000021,0.000008
1947,0.000016,0.000005
1948,0.000017,0.000008
1949,0.000016,0.000007
1950,0.000017,0.000005
1951,0.000015,0.000007
1952,0.000016,0.000005
1953,0.000015,0.000009
1954,0.000013,0.000006
1955,0.000008,0.000006
1956,0.000012,0.000008
1957,0.000010,0.000004
1958,0.000010,0.000004
1959,0.000010,0.000004
1960,0.000008,0.000005
1961,0.000007,0.000002
1962,0.000009,0.000005
1963,0.000011,0.000004
1964,0.000008,0.000005
1965,0.000007,0.000003
1966,0.000005,0.000006
1967,0.000006,0.000004
1968,0.000006,0.000003
1969,0.000008,0.000004
1970,0.000006,0.000002
1971,0.000009,0.000004
1972,0.000009,0.000005
1973,0.000009,0.000004
1974,0.000011,0.000003
1975,0.000023,0.000002
1976,0.000013,0.000000
1977,0.000014,0.000003
1978,0.000015,0.000003
1979,0.000011,0.000002
1980,0.000006,0.000003
1981,0.000005,0.000004
1982,0.000008,0.000000
1983,0.000008,0.000001
1984,0.000007,0.000000
1985,0.000010,0.000001
1986,0.000013,0.000002
1987,0.000013,0.000002
1988,0.000009,0.000002
1989,0.000010,0.000001
1990,0.000012,0.000002
1991,0.000015,0.000001
1992,0.000014,0.000002
1993,0.000013,0.000002
1994,0.000013,0.000000
1995,0.000010,0.000000
1996,0.000014,0.000002
1997,0.000012,0.000000
1998,0.000012,0.000000
1999,0.000010,0.000000
2000,0.000013,0.000002
2001,0.000008,0.000001
2002,0.000008,0.000002
2003,0.000011,0.000000
2004,0.000008,0.000000
2005,0.000008,0.000000
2006,0.000010,0.000002
2007,0.000009,0.000000
2008,0.000011,0.000000
2009,0.000010,0.000000
2010,0.000011,0.000000
2011,0.000008,0.000000
2012,0.000009,0.000001
2013,0.000010,0.000000
2014,0.000013,0.000000
2015,0.000013,0.000000
2016,0.000007,0.000002
2017,0.000019,0.000000
2018,0.000016,0.000002
2019,0.000014,0.000002
2020,0.000012,0.000002
