year,Avram
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,10
1952,10
1953,0
1954,8
1955,6
1956,6
1957,0
1958,10
1959,8
1960,6
1961,9
1962,7
1963,5
1964,8
1965,6
1966,0
1967,5
1968,6
1969,11
1970,7
1971,18
1972,7
1973,11
1974,13
1975,6
1976,10
1977,9
1978,8
1979,15
1980,9
1981,13
1982,15
1983,11
1984,20
1985,7
1986,8
1987,12
1988,8
1989,10
1990,10
1991,13
1992,8
1993,5
1994,18
1995,12
1996,11
1997,5
1998,9
1999,12
2000,15
2001,5
2002,8
2003,14
2004,10
2005,20
2006,11
2007,23
2008,19
2009,25
2010,17
2011,22
2012,25
