year,Arturo (F),Arturo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000028
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000025
1909,0.000000,0.000012
1910,0.000000,0.000039
1911,0.000000,0.000020
1912,0.000000,0.000014
1913,0.000000,0.000039
1914,0.000000,0.000025
1915,0.000000,0.000026
1916,0.000000,0.000016
1917,0.000000,0.000026
1918,0.000000,0.000025
1919,0.000000,0.000036
1920,0.000000,0.000049
1921,0.000000,0.000040
1922,0.000000,0.000050
1923,0.000000,0.000056
1924,0.000000,0.000062
1925,0.000000,0.000056
1926,0.000000,0.000064
1927,0.000000,0.000074
1928,0.000000,0.000085
1929,0.000000,0.000093
1930,0.000000,0.000082
1931,0.000000,0.000074
1932,0.000000,0.000074
1933,0.000000,0.000064
1934,0.000003,0.000070
1935,0.000000,0.000064
1936,0.000000,0.000054
1937,0.000000,0.000065
1938,0.000000,0.000065
1939,0.000000,0.000065
1940,0.000000,0.000070
1941,0.000000,0.000066
1942,0.000000,0.000073
1943,0.000000,0.000083
1944,0.000000,0.000090
1945,0.000000,0.000083
1946,0.000000,0.000088
1947,0.000000,0.000084
1948,0.000000,0.000095
1949,0.000000,0.000100
1950,0.000000,0.000106
1951,0.000000,0.000100
1952,0.000000,0.000110
1953,0.000000,0.000115
1954,0.000000,0.000104
1955,0.000000,0.000102
1956,0.000001,0.000103
1957,0.000000,0.000102
1958,0.000000,0.000112
1959,0.000000,0.000112
1960,0.000000,0.000110
1961,0.000000,0.000117
1962,0.000002,0.000124
1963,0.000000,0.000118
1964,0.000002,0.000115
1965,0.000002,0.000122
1966,0.000000,0.000132
1967,0.000000,0.000130
1968,0.000000,0.000148
1969,0.000000,0.000139
1970,0.000000,0.000158
1971,0.000000,0.000161
1972,0.000002,0.000190
1973,0.000000,0.000187
1974,0.000003,0.000194
1975,0.000002,0.000213
1976,0.000000,0.000228
1977,0.000003,0.000202
1978,0.000004,0.000216
1979,0.000002,0.000208
1980,0.000001,0.000222
1981,0.000003,0.000238
1982,0.000003,0.000209
1983,0.000003,0.000210
1984,0.000002,0.000220
1985,0.000002,0.000215
1986,0.000002,0.000209
1987,0.000000,0.000215
1988,0.000002,0.000221
1989,0.000003,0.000224
1990,0.000003,0.000262
1991,0.000003,0.000258
1992,0.000002,0.000277
1993,0.000002,0.000280
1994,0.000002,0.000273
1995,0.000002,0.000278
1996,0.000000,0.000290
1997,0.000000,0.000277
1998,0.000000,0.000267
1999,0.000000,0.000275
2000,0.000000,0.000275
2001,0.000002,0.000283
2002,0.000000,0.000276
2003,0.000000,0.000260
2004,0.000000,0.000266
2005,0.000000,0.000284
2006,0.000000,0.000251
2007,0.000000,0.000244
2008,0.000000,0.000229
2009,0.000000,0.000209
2010,0.000000,0.000178
2011,0.000000,0.000173
2012,0.000000,0.000161
2013,0.000000,0.000144
