year,Aristeo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,9
1925,8
1926,8
1927,10
1928,8
1929,9
1930,12
1931,7
1932,0
1933,7
1934,5
1935,0
1936,6
1937,8
1938,5
1939,0
1940,6
1941,6
1942,0
1943,0
1944,7
1945,9
1946,5
1947,6
1948,9
1949,8
1950,0
1951,8
1952,0
1953,6
1954,0
1955,5
1956,5
1957,6
1958,0
1959,6
1960,6
1961,10
1962,0
1963,0
1964,7
1965,6
1966,6
1967,0
1968,5
1969,8
1970,5
1971,0
1972,5
1973,8
1974,5
1975,7
1976,12
1977,9
1978,13
1979,16
1980,8
1981,5
1982,9
1983,8
1984,7
1985,9
1986,17
1987,6
1988,18
1989,8
1990,14
1991,12
1992,22
1993,11
1994,18
1995,13
1996,12
1997,7
1998,14
1999,10
2000,24
2001,21
2002,12
2003,10
2004,19
2005,11
2006,16
2007,13
2008,14
2009,13
2010,16
2011,13
2012,8
