year,Amon
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,0
1890,5
1891,5
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,0
1904,7
1905,7
1906,6
1907,5
1908,0
1909,5
1910,7
1911,6
1912,18
1913,11
1914,19
1915,23
1916,29
1917,31
1918,23
1919,24
1920,23
1921,31
1922,30
1923,35
1924,14
1925,19
1926,20
1927,20
1928,17
1929,12
1930,19
1931,10
1932,22
1933,20
1934,18
1935,12
1936,19
1937,10
1938,17
1939,11
1940,12
1941,14
1942,8
1943,11
1944,11
1945,10
1946,9
1947,11
1948,12
1949,7
1950,11
1951,8
1952,14
1953,15
1954,8
1955,14
1956,11
1957,0
1958,8
1959,10
1960,11
1961,5
1962,7
1963,7
1964,8
1965,8
1966,0
1967,8
1968,9
1969,12
1970,18
1971,14
1972,21
1973,15
1974,26
1975,27
1976,20
1977,25
1978,26
1979,20
1980,28
1981,11
1982,14
1983,31
1984,16
1985,15
1986,28
1987,10
1988,21
1989,20
1990,15
1991,22
1992,24
1993,25
1994,25
1995,17
1996,25
1997,37
1998,49
1999,46
2000,37
2001,52
2002,31
2003,53
2004,51
2005,46
2006,68
2007,51
2008,47
2009,41
2010,38
2011,47
2012,36
