year,Alonzo (F),Alonzo (M)
1880,0.000000,0.000606
1881,0.000000,0.000576
1882,0.000000,0.000600
1883,0.000000,0.000461
1884,0.000000,0.000460
1885,0.000000,0.000432
1886,0.000000,0.000415
1887,0.000000,0.000356
1888,0.000000,0.000367
1889,0.000000,0.000353
1890,0.000000,0.000292
1891,0.000000,0.000258
1892,0.000000,0.000311
1893,0.000000,0.000218
1894,0.000000,0.000301
1895,0.000000,0.000242
1896,0.000000,0.000249
1897,0.000000,0.000242
1898,0.000000,0.000273
1899,0.000000,0.000230
1900,0.000000,0.000258
1901,0.000000,0.000194
1902,0.000000,0.000209
1903,0.000000,0.000147
1904,0.000000,0.000188
1905,0.000000,0.000219
1906,0.000000,0.000198
1907,0.000000,0.000176
1908,0.000000,0.000117
1909,0.000000,0.000186
1910,0.000000,0.000152
1911,0.000000,0.000199
1912,0.000000,0.000179
1913,0.000000,0.000162
1914,0.000000,0.000144
1915,0.000000,0.000146
1916,0.000000,0.000142
1917,0.000000,0.000143
1918,0.000000,0.000132
1919,0.000000,0.000152
1920,0.000000,0.000136
1921,0.000000,0.000135
1922,0.000000,0.000139
1923,0.000000,0.000139
1924,0.000000,0.000144
1925,0.000000,0.000126
1926,0.000000,0.000129
1927,0.000002,0.000124
1928,0.000000,0.000117
1929,0.000002,0.000109
1930,0.000000,0.000121
1931,0.000000,0.000112
1932,0.000000,0.000128
1933,0.000000,0.000126
1934,0.000000,0.000122
1935,0.000000,0.000116
1936,0.000000,0.000099
1937,0.000000,0.000106
1938,0.000000,0.000105
1939,0.000000,0.000113
1940,0.000000,0.000111
1941,0.000000,0.000092
1942,0.000000,0.000090
1943,0.000000,0.000093
1944,0.000000,0.000087
1945,0.000000,0.000083
1946,0.000000,0.000081
1947,0.000000,0.000083
1948,0.000001,0.000102
1949,0.000000,0.000085
1950,0.000000,0.000104
1951,0.000000,0.000104
1952,0.000000,0.000090
1953,0.000000,0.000102
1954,0.000001,0.000093
1955,0.000002,0.000103
1956,0.000001,0.000101
1957,0.000001,0.000090
1958,0.000001,0.000110
1959,0.000002,0.000106
1960,0.000001,0.000112
1961,0.000002,0.000115
1962,0.000000,0.000133
1963,0.000001,0.000116
1964,0.000000,0.000115
1965,0.000002,0.000116
1966,0.000000,0.000111
1967,0.000000,0.000119
1968,0.000000,0.000113
1969,0.000000,0.000120
1970,0.000002,0.000112
1971,0.000002,0.000122
1972,0.000002,0.000118
1973,0.000000,0.000118
1974,0.000002,0.000111
1975,0.000002,0.000110
1976,0.000000,0.000100
1977,0.000000,0.000113
1978,0.000000,0.000089
1979,0.000000,0.000100
1980,0.000002,0.000106
1981,0.000002,0.000090
1982,0.000002,0.000092
1983,0.000001,0.000093
1984,0.000000,0.000092
1985,0.000000,0.000088
1986,0.000001,0.000104
1987,0.000002,0.000113
1988,0.000002,0.000125
1989,0.000000,0.000111
1990,0.000000,0.000109
1991,0.000000,0.000110
1992,0.000000,0.000104
1993,0.000000,0.000112
1994,0.000000,0.000126
1995,0.000000,0.000124
1996,0.000000,0.000112
1997,0.000000,0.000124
1998,0.000000,0.000107
1999,0.000000,0.000111
2000,0.000000,0.000115
2001,0.000000,0.000100
2002,0.000000,0.000116
2003,0.000000,0.000115
2004,0.000000,0.000110
2005,0.000000,0.000118
2006,0.000000,0.000114
2007,0.000000,0.000108
2008,0.000000,0.000123
2009,0.000000,0.000108
2010,0.000000,0.000118
2011,0.000000,0.000124
2012,0.000000,0.000124
2013,0.000000,0.000150
