year,Alvaro (F),Alvaro (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000005
1915,0.000000,0.000004
1916,0.000000,0.000008
1917,0.000000,0.000006
1918,0.000000,0.000010
1919,0.000000,0.000006
1920,0.000000,0.000006
1921,0.000000,0.000009
1922,0.000000,0.000011
1923,0.000000,0.000010
1924,0.000000,0.000016
1925,0.000000,0.000011
1926,0.000000,0.000011
1927,0.000000,0.000012
1928,0.000000,0.000018
1929,0.000000,0.000010
1930,0.000000,0.000015
1931,0.000000,0.000016
1932,0.000000,0.000011
1933,0.000000,0.000012
1934,0.000000,0.000014
1935,0.000000,0.000006
1936,0.000000,0.000009
1937,0.000000,0.000009
1938,0.000000,0.000007
1939,0.000000,0.000009
1940,0.000000,0.000008
1941,0.000000,0.000009
1942,0.000000,0.000006
1943,0.000000,0.000007
1944,0.000000,0.000006
1945,0.000000,0.000008
1946,0.000000,0.000012
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000014
1950,0.000000,0.000013
1951,0.000000,0.000010
1952,0.000000,0.000013
1953,0.000000,0.000014
1954,0.000000,0.000016
1955,0.000000,0.000012
1956,0.000000,0.000010
1957,0.000000,0.000014
1958,0.000000,0.000014
1959,0.000000,0.000011
1960,0.000000,0.000017
1961,0.000000,0.000012
1962,0.000000,0.000017
1963,0.000000,0.000016
1964,0.000000,0.000015
1965,0.000000,0.000017
1966,0.000000,0.000019
1967,0.000000,0.000020
1968,0.000000,0.000019
1969,0.000000,0.000025
1970,0.000000,0.000021
1971,0.000000,0.000031
1972,0.000000,0.000031
1973,0.000000,0.000037
1974,0.000000,0.000039
1975,0.000000,0.000046
1976,0.000000,0.000039
1977,0.000000,0.000041
1978,0.000000,0.000048
1979,0.000000,0.000046
1980,0.000000,0.000053
1981,0.000000,0.000059
1982,0.000000,0.000057
1983,0.000000,0.000057
1984,0.000000,0.000050
1985,0.000000,0.000099
1986,0.000000,0.000078
1987,0.000000,0.000071
1988,0.000000,0.000065
1989,0.000000,0.000087
1990,0.000000,0.000078
1991,0.000000,0.000090
1992,0.000000,0.000082
1993,0.000000,0.000087
1994,0.000000,0.000090
1995,0.000000,0.000094
1996,0.000000,0.000087
1997,0.000000,0.000093
1998,0.000000,0.000093
1999,0.000000,0.000102
2000,0.000000,0.000117
2001,0.000000,0.000106
2002,0.000001,0.000101
2003,0.000000,0.000108
2004,0.000000,0.000098
2005,0.000000,0.000103
2006,0.000000,0.000109
2007,0.000000,0.000102
2008,0.000000,0.000097
2009,0.000000,0.000077
2010,0.000000,0.000078
2011,0.000000,0.000072
2012,0.000000,0.000063
2013,0.000000,0.000069
