year,Amado
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,8
1911,0
1912,8
1913,17
1914,12
1915,9
1916,14
1917,15
1918,11
1919,24
1920,21
1921,23
1922,30
1923,20
1924,34
1925,42
1926,27
1927,34
1928,41
1929,41
1930,34
1931,34
1932,44
1933,29
1934,30
1935,31
1936,16
1937,35
1938,23
1939,14
1940,23
1941,29
1942,22
1943,30
1944,31
1945,25
1946,30
1947,30
1948,43
1949,24
1950,34
1951,41
1952,30
1953,35
1954,40
1955,39
1956,38
1957,38
1958,29
1959,37
1960,33
1961,41
1962,37
1963,28
1964,28
1965,36
1966,22
1967,40
1968,30
1969,29
1970,37
1971,39
1972,30
1973,37
1974,44
1975,45
1976,34
1977,47
1978,42
1979,35
1980,41
1981,49
1982,49
1983,30
1984,41
1985,41
1986,31
1987,37
1988,40
1989,38
1990,52
1991,35
1992,40
1993,58
1994,41
1995,37
1996,56
1997,50
1998,59
1999,53
2000,64
2001,48
2002,27
2003,43
2004,42
2005,59
2006,57
2007,54
2008,37
2009,37
2010,30
2011,31
2012,42
