year,Almedia
1880,0
1881,8
1882,0
1883,0
1884,0
1885,7
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,5
1893,8
1894,0
1895,7
1896,0
1897,5
1898,6
1899,8
1900,0
1901,0
1902,6
1903,8
1904,8
1905,0
1906,0
1907,0
1908,0
1909,6
1910,7
1911,5
1912,11
1913,6
1914,13
1915,13
1916,9
1917,8
1918,10
1919,12
1920,17
1921,9
1922,19
1923,14
1924,10
1925,14
1926,9
1927,12
1928,10
1929,12
1930,10
1931,7
1932,14
1933,10
1934,11
1935,11
1936,9
1937,17
1938,10
1939,5
1940,7
1941,8
1942,7
1943,7
1944,7
1945,6
1946,0
1947,10
1948,5
1949,6
1950,8
1951,0
1952,0
1953,15
1954,0
1955,0
1956,7
1957,8
1958,6
1959,0
1960,7
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
