year,Adan (F),Adan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000010
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000008
1916,0.000000,0.000009
1917,0.000000,0.000007
1918,0.000000,0.000009
1919,0.000000,0.000007
1920,0.000000,0.000011
1921,0.000000,0.000014
1922,0.000000,0.000009
1923,0.000000,0.000012
1924,0.000000,0.000013
1925,0.000000,0.000013
1926,0.000000,0.000011
1927,0.000000,0.000021
1928,0.000000,0.000021
1929,0.000000,0.000017
1930,0.000000,0.000022
1931,0.000000,0.000016
1932,0.000000,0.000021
1933,0.000000,0.000015
1934,0.000000,0.000022
1935,0.000000,0.000020
1936,0.000000,0.000019
1937,0.000000,0.000022
1938,0.000000,0.000016
1939,0.000000,0.000014
1940,0.000000,0.000017
1941,0.000000,0.000021
1942,0.000000,0.000017
1943,0.000000,0.000015
1944,0.000000,0.000019
1945,0.000000,0.000023
1946,0.000000,0.000022
1947,0.000000,0.000016
1948,0.000000,0.000011
1949,0.000000,0.000016
1950,0.000000,0.000018
1951,0.000000,0.000011
1952,0.000000,0.000017
1953,0.000000,0.000017
1954,0.000000,0.000009
1955,0.000000,0.000014
1956,0.000000,0.000014
1957,0.000000,0.000012
1958,0.000000,0.000015
1959,0.000000,0.000017
1960,0.000000,0.000016
1961,0.000000,0.000015
1962,0.000000,0.000023
1963,0.000000,0.000020
1964,0.000000,0.000020
1965,0.000000,0.000020
1966,0.000000,0.000024
1967,0.000000,0.000025
1968,0.000000,0.000025
1969,0.000000,0.000029
1970,0.000000,0.000030
1971,0.000000,0.000034
1972,0.000000,0.000035
1973,0.000000,0.000049
1974,0.000000,0.000043
1975,0.000000,0.000046
1976,0.000002,0.000061
1977,0.000000,0.000059
1978,0.000000,0.000052
1979,0.000000,0.000054
1980,0.000000,0.000069
1981,0.000000,0.000073
1982,0.000000,0.000064
1983,0.000000,0.000067
1984,0.000000,0.000071
1985,0.000000,0.000068
1986,0.000002,0.000087
1987,0.000000,0.000073
1988,0.000000,0.000073
1989,0.000002,0.000078
1990,0.000000,0.000085
1991,0.000001,0.000092
1992,0.000000,0.000106
1993,0.000000,0.000106
1994,0.000000,0.000097
1995,0.000001,0.000110
1996,0.000000,0.000109
1997,0.000000,0.000111
1998,0.000000,0.000104
1999,0.000000,0.000123
2000,0.000000,0.000120
2001,0.000002,0.000132
2002,0.000001,0.000149
2003,0.000000,0.000165
2004,0.000000,0.000292
2005,0.000002,0.000301
2006,0.000001,0.000278
2007,0.000000,0.000270
2008,0.000002,0.000283
2009,0.000001,0.000295
2010,0.000002,0.000256
2011,0.000000,0.000248
2012,0.000000,0.000238
2013,0.000002,0.000239
2014,0.000002,0.000225
2015,0.000003,0.000212
2016,0.000002,0.000223
2017,0.000002,0.000208
2018,0.000002,0.000189
2019,0.000000,0.000198
2020,0.000000,0.000190
