year,Alline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,5
1889,0
1890,6
1891,0
1892,7
1893,9
1894,13
1895,7
1896,9
1897,7
1898,11
1899,17
1900,12
1901,6
1902,17
1903,16
1904,12
1905,12
1906,15
1907,10
1908,21
1909,15
1910,17
1911,24
1912,38
1913,34
1914,35
1915,45
1916,43
1917,63
1918,71
1919,70
1920,69
1921,79
1922,53
1923,63
1924,50
1925,70
1926,70
1927,61
1928,52
1929,50
1930,45
1931,46
1932,39
1933,41
1934,29
1935,32
1936,23
1937,16
1938,20
1939,29
1940,9
1941,26
1942,18
1943,17
1944,15
1945,13
1946,17
1947,26
1948,18
1949,15
1950,10
1951,12
1952,11
1953,17
1954,6
1955,9
1956,0
1957,0
1958,6
1959,7
1960,11
1961,0
1962,10
1963,0
1964,7
1965,5
1966,8
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
