year,Amando
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,6
1915,7
1916,7
1917,8
1918,9
1919,7
1920,0
1921,10
1922,8
1923,13
1924,11
1925,15
1926,10
1927,12
1928,12
1929,13
1930,9
1931,9
1932,10
1933,5
1934,13
1935,10
1936,11
1937,0
1938,0
1939,9
1940,11
1941,10
1942,0
1943,16
1944,5
1945,9
1946,12
1947,8
1948,5
1949,9
1950,0
1951,13
1952,7
1953,6
1954,10
1955,6
1956,15
1957,18
1958,10
1959,11
1960,6
1961,7
1962,6
1963,7
1964,9
1965,10
1966,14
1967,17
1968,10
1969,11
1970,8
1971,9
1972,15
1973,15
1974,9
1975,20
1976,12
1977,17
1978,13
1979,21
1980,28
1981,28
1982,27
1983,15
1984,8
1985,28
1986,30
1987,26
1988,24
1989,25
1990,22
1991,25
1992,17
1993,27
1994,20
1995,18
1996,11
1997,23
1998,19
1999,20
2000,9
2001,20
2002,28
2003,19
2004,18
2005,18
2006,12
2007,12
2008,18
2009,13
2010,8
2011,9
2012,8
