year,Anthony (F),Anthony (M)
1880,0.000000,0.000645
1881,0.000000,0.000664
1882,0.000000,0.000627
1883,0.000000,0.000659
1884,0.000000,0.000735
1885,0.000000,0.000635
1886,0.000000,0.000682
1887,0.000000,0.000618
1888,0.000000,0.000644
1889,0.000000,0.000758
1890,0.000000,0.000627
1891,0.000000,0.000593
1892,0.000000,0.000763
1893,0.000000,0.000676
1894,0.000000,0.000759
1895,0.000000,0.000630
1896,0.000014,0.000772
1897,0.000000,0.000718
1898,0.000000,0.000852
1899,0.000000,0.000858
1900,0.000000,0.000902
1901,0.000014,0.000934
1902,0.000000,0.001086
1903,0.000000,0.001047
1904,0.000000,0.001046
1905,0.000000,0.001156
1906,0.000000,0.001265
1907,0.000000,0.001274
1908,0.000000,0.001412
1909,0.000000,0.001483
1910,0.000010,0.001659
1911,0.000011,0.001999
1912,0.000008,0.002510
1913,0.000007,0.002446
1914,0.000010,0.002609
1915,0.000013,0.002577
1916,0.000008,0.002455
1917,0.000009,0.002505
1918,0.000009,0.002380
1919,0.000011,0.002245
1920,0.000014,0.002185
1921,0.000010,0.002244
1922,0.000010,0.002224
1923,0.000011,0.002224
1924,0.000008,0.002180
1925,0.000011,0.002160
1926,0.000015,0.002204
1927,0.000013,0.002121
1928,0.000014,0.002086
1929,0.000022,0.002159
1930,0.000013,0.002103
1931,0.000019,0.002046
1932,0.000016,0.002000
1933,0.000013,0.001988
1934,0.000008,0.001849
1935,0.000012,0.001870
1936,0.000008,0.001915
1937,0.000011,0.002036
1938,0.000007,0.002119
1939,0.000012,0.002092
1940,0.000008,0.002070
1941,0.000008,0.002151
1942,0.000008,0.002273
1943,0.000008,0.002198
1944,0.000005,0.002083
1945,0.000004,0.002143
1946,0.000008,0.002120
1947,0.000006,0.002225
1948,0.000007,0.002282
1949,0.000006,0.002425
1950,0.000007,0.002458
1951,0.000009,0.002672
1952,0.000011,0.002945
1953,0.000009,0.003035
1954,0.000015,0.003297
1955,0.000014,0.003531
1956,0.000016,0.003774
1957,0.000016,0.004057
1958,0.000020,0.004217
1959,0.000020,0.004320
1960,0.000024,0.004695
1961,0.000029,0.004876
1962,0.000026,0.004983
1963,0.000028,0.005113
1964,0.000031,0.005179
1965,0.000031,0.005609
1966,0.000049,0.005935
1967,0.000046,0.006151
1968,0.000041,0.005989
1969,0.000045,0.006015
1970,0.000040,0.005873
1971,0.000040,0.005602
1972,0.000043,0.005554
1973,0.000048,0.005442
1974,0.000041,0.005391
1975,0.000045,0.005463
1976,0.000046,0.005473
1977,0.000046,0.005289
1978,0.000047,0.005296
1979,0.000046,0.005266
1980,0.000047,0.005113
1981,0.000038,0.005371
1982,0.000038,0.005600
1983,0.000047,0.005726
1984,0.000045,0.006008
1985,0.000056,0.006189
1986,0.000056,0.006173
1987,0.000059,0.006415
1988,0.000048,0.006398
1989,0.000032,0.006354
1990,0.000025,0.006346
1991,0.000022,0.006276
1992,0.000021,0.006032
1993,0.000025,0.005779
1994,0.000024,0.005811
1995,0.000024,0.005593
1996,0.000018,0.005623
1997,0.000011,0.005525
1998,0.000014,0.005338
1999,0.000015,0.005272
2000,0.000014,0.005200
2001,0.000011,0.005274
2002,0.000012,0.005242
2003,0.000010,0.005301
2004,0.000015,0.005134
2005,0.000007,0.005043
2006,0.000007,0.004908
2007,0.000008,0.004913
2008,0.000007,0.004685
2009,0.000007,0.004273
2010,0.000007,0.004197
2011,0.000007,0.003906
2012,0.000004,0.003614
2013,0.000004,0.003371
2014,0.000005,0.003131
2015,0.000004,0.002879
2016,0.000003,0.002698
2017,0.000002,0.002480
2018,0.000001,0.002290
2019,0.000000,0.002222
2020,0.000003,0.002108
