year,Abe (F),Abe (M)
1880,0.000000,0.000248
1881,0.000000,0.000187
1882,0.000000,0.000226
1883,0.000000,0.000198
1884,0.000000,0.000185
1885,0.000000,0.000195
1886,0.000000,0.000196
1887,0.000000,0.000150
1888,0.000000,0.000154
1889,0.000000,0.000135
1890,0.000000,0.000163
1891,0.000000,0.000140
1892,0.000000,0.000159
1893,0.000000,0.000132
1894,0.000000,0.000148
1895,0.000000,0.000154
1896,0.000000,0.000143
1897,0.000000,0.000167
1898,0.000000,0.000176
1899,0.000000,0.000115
1900,0.000000,0.000124
1901,0.000000,0.000139
1902,0.000000,0.000140
1903,0.000000,0.000152
1904,0.000000,0.000129
1905,0.000000,0.000153
1906,0.000000,0.000117
1907,0.000000,0.000140
1908,0.000000,0.000117
1909,0.000000,0.000131
1910,0.000000,0.000125
1911,0.000000,0.000146
1912,0.000000,0.000174
1913,0.000000,0.000178
1914,0.000000,0.000159
1915,0.000000,0.000148
1916,0.000000,0.000134
1917,0.000000,0.000140
1918,0.000000,0.000118
1919,0.000000,0.000125
1920,0.000000,0.000091
1921,0.000000,0.000099
1922,0.000000,0.000077
1923,0.000000,0.000075
1924,0.000000,0.000073
1925,0.000000,0.000050
1926,0.000000,0.000059
1927,0.000000,0.000060
1928,0.000000,0.000039
1929,0.000000,0.000028
1930,0.000000,0.000039
1931,0.000000,0.000037
1932,0.000000,0.000039
1933,0.000000,0.000034
1934,0.000000,0.000037
1935,0.000000,0.000028
1936,0.000000,0.000034
1937,0.000000,0.000030
1938,0.000000,0.000025
1939,0.000000,0.000025
1940,0.000000,0.000023
1941,0.000000,0.000027
1942,0.000000,0.000023
1943,0.000000,0.000019
1944,0.000000,0.000022
1945,0.000000,0.000022
1946,0.000000,0.000017
1947,0.000000,0.000016
1948,0.000000,0.000015
1949,0.000000,0.000018
1950,0.000000,0.000013
1951,0.000000,0.000012
1952,0.000000,0.000013
1953,0.000000,0.000015
1954,0.000000,0.000015
1955,0.000000,0.000015
1956,0.000000,0.000013
1957,0.000000,0.000016
1958,0.000000,0.000015
1959,0.000000,0.000016
1960,0.000000,0.000014
1961,0.000000,0.000015
1962,0.000000,0.000013
1963,0.000000,0.000012
1964,0.000000,0.000011
1965,0.000000,0.000010
1966,0.000000,0.000010
1967,0.000000,0.000007
1968,0.000000,0.000010
1969,0.000000,0.000009
1970,0.000000,0.000009
1971,0.000000,0.000012
1972,0.000000,0.000011
1973,0.000000,0.000013
1974,0.000000,0.000012
1975,0.000000,0.000013
1976,0.000000,0.000012
1977,0.000000,0.000014
1978,0.000000,0.000008
1979,0.000000,0.000007
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000010
1983,0.000000,0.000008
1984,0.000000,0.000005
1985,0.000000,0.000008
1986,0.000000,0.000006
1987,0.000000,0.000008
1988,0.000000,0.000007
1989,0.000000,0.000006
1990,0.000000,0.000006
1991,0.000000,0.000006
1992,0.000000,0.000004
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000005
1996,0.000000,0.000008
1997,0.000000,0.000007
1998,0.000000,0.000008
1999,0.000000,0.000006
2000,0.000000,0.000008
2001,0.000000,0.000011
2002,0.000000,0.000012
2003,0.000000,0.000014
2004,0.000000,0.000009
2005,0.000000,0.000010
2006,0.000000,0.000011
2007,0.000000,0.000013
2008,0.000000,0.000012
2009,0.000000,0.000015
2010,0.000000,0.000015
2011,0.000000,0.000014
2012,0.000000,0.000013
2013,0.000000,0.000017
2014,0.000000,0.000016
2015,0.000000,0.000022
2016,0.000000,0.000017
2017,0.000000,0.000021
2018,0.000000,0.000023
2019,0.000000,0.000023
2020,0.000000,0.000016
