year,Americo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,5
1906,5
1907,9
1908,15
1909,9
1910,14
1911,23
1912,37
1913,47
1914,70
1915,87
1916,78
1917,104
1918,89
1919,81
1920,83
1921,104
1922,106
1923,91
1924,98
1925,79
1926,60
1927,64
1928,63
1929,74
1930,34
1931,42
1932,25
1933,21
1934,18
1935,18
1936,17
1937,17
1938,12
1939,8
1940,12
1941,12
1942,12
1943,11
1944,10
1945,14
1946,13
1947,11
1948,5
1949,11
1950,13
1951,10
1952,10
1953,19
1954,15
1955,17
1956,18
1957,29
1958,15
1959,20
1960,26
1961,26
1962,20
1963,14
1964,20
1965,25
1966,20
1967,18
1968,18
1969,18
1970,14
1971,17
1972,19
1973,19
1974,22
1975,17
1976,26
1977,18
1978,15
1979,18
1980,26
1981,18
1982,9
1983,11
1984,20
1985,14
1986,13
1987,10
1988,12
1989,14
1990,9
1991,16
1992,17
1993,14
1994,26
1995,12
1996,14
1997,7
1998,13
1999,25
2000,16
2001,9
2002,8
2003,16
2004,11
2005,9
2006,12
2007,10
2008,8
2009,11
2010,15
2011,10
2012,6
