year,Arley (F),Arley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000025,0.000000
1885,0.000000,0.000037
1886,0.000000,0.000020
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000017,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000027
1893,0.000000,0.000022
1894,0.000000,0.000024
1895,0.000000,0.000020
1896,0.000000,0.000025
1897,0.000000,0.000029
1898,0.000000,0.000013
1899,0.000015,0.000021
1900,0.000000,0.000018
1901,0.000000,0.000017
1902,0.000000,0.000013
1903,0.000013,0.000024
1904,0.000000,0.000022
1905,0.000000,0.000019
1906,0.000000,0.000016
1907,0.000000,0.000013
1908,0.000000,0.000025
1909,0.000000,0.000000
1910,0.000000,0.000012
1911,0.000009,0.000011
1912,0.000000,0.000021
1913,0.000000,0.000019
1914,0.000000,0.000021
1915,0.000000,0.000029
1916,0.000003,0.000022
1917,0.000003,0.000023
1918,0.000003,0.000022
1919,0.000000,0.000020
1920,0.000004,0.000019
1921,0.000003,0.000021
1922,0.000005,0.000028
1923,0.000000,0.000026
1924,0.000003,0.000017
1925,0.000003,0.000021
1926,0.000003,0.000026
1927,0.000002,0.000025
1928,0.000004,0.000020
1929,0.000005,0.000025
1930,0.000004,0.000016
1931,0.000003,0.000018
1932,0.000000,0.000022
1933,0.000004,0.000021
1934,0.000000,0.000021
1935,0.000002,0.000018
1936,0.000000,0.000021
1937,0.000000,0.000023
1938,0.000000,0.000013
1939,0.000000,0.000013
1940,0.000000,0.000016
1941,0.000000,0.000011
1942,0.000000,0.000014
1943,0.000000,0.000011
1944,0.000000,0.000014
1945,0.000000,0.000011
1946,0.000000,0.000012
1947,0.000000,0.000008
1948,0.000000,0.000009
1949,0.000000,0.000005
1950,0.000000,0.000007
1951,0.000000,0.000009
1952,0.000000,0.000006
1953,0.000000,0.000003
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000006
1957,0.000000,0.000004
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000004
1961,0.000000,0.000004
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000003
1965,0.000000,0.000005
1966,0.000000,0.000004
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000002
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000002
1974,0.000000,0.000004
1975,0.000000,0.000003
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000003
1980,0.000000,0.000002
1981,0.000001,0.000003
1982,0.000008,0.000003
1983,0.000009,0.000004
1984,0.000004,0.000003
1985,0.000002,0.000002
1986,0.000002,0.000003
1987,0.000002,0.000003
1988,0.000002,0.000006
1989,0.000000,0.000008
1990,0.000000,0.000007
1991,0.000001,0.000004
1992,0.000001,0.000005
1993,0.000000,0.000011
1994,0.000002,0.000006
1995,0.000002,0.000004
1996,0.000002,0.000003
1997,0.000002,0.000002
1998,0.000002,0.000002
1999,0.000002,0.000003
2000,0.000004,0.000003
2001,0.000000,0.000002
2002,0.000003,0.000005
2003,0.000003,0.000003
2004,0.000003,0.000003
2005,0.000003,0.000004
2006,0.000003,0.000003
2007,0.000004,0.000003
2008,0.000004,0.000005
2009,0.000004,0.000006
2010,0.000005,0.000010
2011,0.000008,0.000015
2012,0.000005,0.000024
2013,0.000008,0.000013
2014,0.000006,0.000017
2015,0.000009,0.000017
2016,0.000006,0.000014
2017,0.000010,0.000013
2018,0.000009,0.000018
2019,0.000009,0.000025
2020,0.000010,0.000021
