year,Arma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,7
1916,5
1917,0
1918,6
1919,6
1920,8
1921,11
1922,7
1923,0
1924,12
1925,14
1926,10
1927,11
1928,8
1929,13
1930,13
1931,11
1932,13
1933,11
1934,17
1935,14
1936,17
1937,8
1938,14
1939,0
1940,9
1941,17
1942,10
1943,12
1944,17
1945,6
1946,33
1947,16
1948,19
1949,21
1950,24
1951,20
1952,12
1953,24
1954,18
1955,11
1956,15
1957,7
1958,8
1959,9
1960,6
1961,8
1962,8
1963,6
1964,5
1965,8
1966,0
1967,0
1968,5
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
