year,Aharon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,7
1964,8
1965,0
1966,0
1967,0
1968,7
1969,0
1970,7
1971,8
1972,7
1973,11
1974,8
1975,13
1976,15
1977,16
1978,17
1979,17
1980,17
1981,25
1982,25
1983,30
1984,24
1985,20
1986,23
1987,24
1988,36
1989,40
1990,53
1991,46
1992,47
1993,32
1994,35
1995,41
1996,32
1997,43
1998,54
1999,47
2000,42
2001,51
2002,59
2003,57
2004,51
2005,45
2006,58
2007,58
2008,48
2009,71
2010,58
2011,70
2012,53
