year,Alvino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,9
1917,6
1918,8
1919,7
1920,10
1921,0
1922,7
1923,8
1924,9
1925,13
1926,20
1927,13
1928,14
1929,8
1930,14
1931,8
1932,11
1933,17
1934,12
1935,10
1936,13
1937,18
1938,7
1939,11
1940,19
1941,19
1942,15
1943,17
1944,15
1945,9
1946,12
1947,15
1948,21
1949,20
1950,20
1951,16
1952,25
1953,20
1954,17
1955,10
1956,23
1957,18
1958,20
1959,15
1960,18
1961,22
1962,14
1963,17
1964,12
1965,19
1966,30
1967,9
1968,19
1969,29
1970,19
1971,17
1972,21
1973,20
1974,17
1975,19
1976,19
1977,19
1978,16
1979,20
1980,23
1981,15
1982,14
1983,24
1984,14
1985,11
1986,11
1987,15
1988,16
1989,14
1990,11
1991,14
1992,18
1993,17
1994,13
1995,15
1996,12
1997,12
1998,12
1999,5
2000,17
2001,15
2002,9
2003,7
2004,7
2005,7
2006,11
2007,10
2008,9
2009,13
2010,14
2011,7
2012,7
