year,Adrienne (F),Adrienne (M)
1880,0.000025,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000021,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000020,0.000000
1888,0.000017,0.000000
1889,0.000000,0.000000
1890,0.000020,0.000000
1891,0.000000,0.000000
1892,0.000015,0.000000
1893,0.000028,0.000000
1894,0.000015,0.000000
1895,0.000017,0.000000
1896,0.000020,0.000000
1897,0.000046,0.000000
1898,0.000024,0.000000
1899,0.000032,0.000000
1900,0.000047,0.000000
1901,0.000023,0.000000
1902,0.000026,0.000000
1903,0.000045,0.000000
1904,0.000052,0.000000
1905,0.000052,0.000000
1906,0.000065,0.000000
1907,0.000037,0.000000
1908,0.000043,0.000000
1909,0.000047,0.000000
1910,0.000069,0.000000
1911,0.000051,0.000000
1912,0.000043,0.000000
1913,0.000050,0.000000
1914,0.000048,0.000000
1915,0.000048,0.000000
1916,0.000043,0.000000
1917,0.000060,0.000000
1918,0.000041,0.000000
1919,0.000051,0.000000
1920,0.000038,0.000000
1921,0.000054,0.000000
1922,0.000041,0.000000
1923,0.000057,0.000000
1924,0.000058,0.000000
1925,0.000060,0.000000
1926,0.000060,0.000000
1927,0.000059,0.000000
1928,0.000051,0.000000
1929,0.000056,0.000000
1930,0.000052,0.000000
1931,0.000054,0.000000
1932,0.000117,0.000000
1933,0.000163,0.000000
1934,0.000188,0.000000
1935,0.000188,0.000000
1936,0.000169,0.000000
1937,0.000160,0.000000
1938,0.000146,0.000000
1939,0.000145,0.000000
1940,0.000129,0.000000
1941,0.000134,0.000000
1942,0.000147,0.000000
1943,0.000129,0.000000
1944,0.000123,0.000000
1945,0.000135,0.000000
1946,0.000128,0.000000
1947,0.000139,0.000000
1948,0.000136,0.000000
1949,0.000154,0.000000
1950,0.000140,0.000000
1951,0.000141,0.000000
1952,0.000140,0.000000
1953,0.000154,0.000000
1954,0.000163,0.000000
1955,0.000168,0.000000
1956,0.000169,0.000000
1957,0.000174,0.000000
1958,0.000175,0.000000
1959,0.000167,0.000000
1960,0.000155,0.000002
1961,0.000167,0.000000
1962,0.000193,0.000000
1963,0.000173,0.000000
1964,0.000180,0.000000
1965,0.000191,0.000000
1966,0.000206,0.000002
1967,0.000304,0.000002
1968,0.000319,0.000000
1969,0.000282,0.000002
1970,0.000278,0.000000
1971,0.000287,0.000001
1972,0.000300,0.000002
1973,0.000293,0.000002
1974,0.000320,0.000002
1975,0.000454,0.000002
1976,0.000472,0.000000
1977,0.000533,0.000003
1978,0.000546,0.000003
1979,0.000535,0.000003
1980,0.000485,0.000003
1981,0.000454,0.000003
1982,0.000493,0.000004
1983,0.000600,0.000003
1984,0.000473,0.000005
1985,0.000418,0.000005
1986,0.000372,0.000004
1987,0.000407,0.000004
1988,0.000386,0.000004
1989,0.000331,0.000005
1990,0.000306,0.000003
1991,0.000285,0.000003
1992,0.000260,0.000002
1993,0.000249,0.000002
1994,0.000196,0.000000
1995,0.000176,0.000001
1996,0.000158,0.000000
1997,0.000151,0.000002
1998,0.000160,0.000001
1999,0.000132,0.000002
2000,0.000131,0.000003
2001,0.000106,0.000000
2002,0.000122,0.000002
2003,0.000111,0.000000
2004,0.000097,0.000001
2005,0.000097,0.000002
2006,0.000095,0.000002
2007,0.000097,0.000003
2008,0.000095,0.000002
2009,0.000123,0.000003
2010,0.000111,0.000000
2011,0.000116,0.000002
2012,0.000106,0.000001
2013,0.000096,0.000001
