year,Alva (F),Alva (M)
1880,0.000084,0.000347
1881,0.000067,0.000363
1882,0.000059,0.000384
1883,0.000028,0.000332
1884,0.000037,0.000255
1885,0.000071,0.000191
1886,0.000082,0.000251
1887,0.000129,0.000234
1888,0.000107,0.000247
1889,0.000076,0.000215
1890,0.000116,0.000226
1891,0.000091,0.000230
1892,0.000120,0.000221
1893,0.000126,0.000203
1894,0.000148,0.000224
1895,0.000174,0.000211
1896,0.000213,0.000190
1897,0.000147,0.000199
1898,0.000147,0.000176
1899,0.000115,0.000180
1900,0.000149,0.000162
1901,0.000142,0.000171
1902,0.000140,0.000155
1903,0.000152,0.000131
1904,0.000121,0.000121
1905,0.000137,0.000134
1906,0.000152,0.000149
1907,0.000159,0.000127
1908,0.000123,0.000074
1909,0.000137,0.000133
1910,0.000135,0.000103
1911,0.000129,0.000090
1912,0.000127,0.000140
1913,0.000125,0.000147
1914,0.000085,0.000126
1915,0.000080,0.000143
1916,0.000091,0.000134
1917,0.000080,0.000157
1918,0.000090,0.000126
1919,0.000082,0.000125
1920,0.000076,0.000123
1921,0.000071,0.000124
1922,0.000076,0.000107
1923,0.000064,0.000119
1924,0.000070,0.000115
1925,0.000066,0.000102
1926,0.000068,0.000113
1927,0.000071,0.000106
1928,0.000072,0.000092
1929,0.000057,0.000110
1930,0.000054,0.000094
1931,0.000064,0.000101
1932,0.000065,0.000083
1933,0.000059,0.000078
1934,0.000057,0.000075
1935,0.000056,0.000070
1936,0.000051,0.000085
1937,0.000055,0.000073
1938,0.000045,0.000071
1939,0.000053,0.000063
1940,0.000043,0.000060
1941,0.000038,0.000042
1942,0.000033,0.000048
1943,0.000034,0.000052
1944,0.000031,0.000042
1945,0.000025,0.000043
1946,0.000025,0.000036
1947,0.000026,0.000036
1948,0.000025,0.000033
1949,0.000024,0.000032
1950,0.000023,0.000028
1951,0.000024,0.000018
1952,0.000021,0.000025
1953,0.000017,0.000017
1954,0.000023,0.000017
1955,0.000024,0.000020
1956,0.000021,0.000014
1957,0.000019,0.000014
1958,0.000018,0.000014
1959,0.000013,0.000016
1960,0.000014,0.000014
1961,0.000013,0.000016
1962,0.000019,0.000013
1963,0.000013,0.000011
1964,0.000014,0.000013
1965,0.000015,0.000012
1966,0.000013,0.000011
1967,0.000011,0.000011
1968,0.000015,0.000010
1969,0.000011,0.000015
1970,0.000014,0.000010
1971,0.000013,0.000010
1972,0.000009,0.000009
1973,0.000010,0.000013
1974,0.000009,0.000009
1975,0.000010,0.000009
1976,0.000010,0.000008
1977,0.000008,0.000008
1978,0.000009,0.000010
1979,0.000007,0.000006
1980,0.000010,0.000008
1981,0.000010,0.000005
1982,0.000007,0.000006
1983,0.000008,0.000005
1984,0.000005,0.000003
1985,0.000010,0.000004
1986,0.000005,0.000004
1987,0.000004,0.000002
1988,0.000008,0.000004
1989,0.000011,0.000004
1990,0.000007,0.000003
1991,0.000004,0.000002
1992,0.000006,0.000003
1993,0.000006,0.000003
1994,0.000003,0.000002
1995,0.000003,0.000004
1996,0.000005,0.000002
1997,0.000002,0.000003
1998,0.000004,0.000002
1999,0.000002,0.000003
2000,0.000005,0.000003
2001,0.000002,0.000002
2002,0.000003,0.000000
2003,0.000004,0.000001
2004,0.000004,0.000002
2005,0.000003,0.000001
2006,0.000001,0.000000
2007,0.000004,0.000003
2008,0.000004,0.000001
2009,0.000003,0.000000
2010,0.000005,0.000002
2011,0.000004,0.000000
2012,0.000004,0.000000
