year,Dexter (F),Dexter (M)
1880,0.000000,0.000030
1881,0.000000,0.000052
1882,0.000000,0.000050
1883,0.000000,0.000028
1884,0.000000,0.000045
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000036
1888,0.000000,0.000033
1889,0.000000,0.000024
1890,0.000000,0.000023
1891,0.000000,0.000028
1892,0.000000,0.000018
1893,0.000000,0.000037
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000017
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000026
1902,0.000000,0.000023
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000012,0.000028
1906,0.000000,0.000026
1907,0.000013,0.000034
1908,0.000000,0.000018
1909,0.000000,0.000029
1910,0.000000,0.000020
1911,0.000000,0.000025
1912,0.000000,0.000029
1913,0.000000,0.000038
1914,0.000000,0.000030
1915,0.000000,0.000038
1916,0.000003,0.000036
1917,0.000003,0.000033
1918,0.000003,0.000035
1919,0.000000,0.000041
1920,0.000004,0.000039
1921,0.000004,0.000034
1922,0.000005,0.000045
1923,0.000007,0.000036
1924,0.000006,0.000021
1925,0.000003,0.000039
1926,0.000000,0.000042
1927,0.000000,0.000034
1928,0.000000,0.000041
1929,0.000000,0.000042
1930,0.000000,0.000040
1931,0.000000,0.000032
1932,0.000000,0.000043
1933,0.000000,0.000037
1934,0.000000,0.000037
1935,0.000000,0.000035
1936,0.000000,0.000032
1937,0.000000,0.000040
1938,0.000000,0.000046
1939,0.000000,0.000044
1940,0.000000,0.000047
1941,0.000000,0.000066
1942,0.000000,0.000051
1943,0.000000,0.000057
1944,0.000000,0.000053
1945,0.000002,0.000053
1946,0.000000,0.000048
1947,0.000000,0.000042
1948,0.000000,0.000044
1949,0.000000,0.000041
1950,0.000000,0.000055
1951,0.000000,0.000065
1952,0.000000,0.000071
1953,0.000001,0.000075
1954,0.000000,0.000082
1955,0.000000,0.000102
1956,0.000000,0.000097
1957,0.000002,0.000116
1958,0.000001,0.000112
1959,0.000001,0.000097
1960,0.000000,0.000104
1961,0.000001,0.000102
1962,0.000000,0.000112
1963,0.000002,0.000107
1964,0.000000,0.000110
1965,0.000000,0.000140
1966,0.000002,0.000123
1967,0.000000,0.000128
1968,0.000002,0.000225
1969,0.000003,0.000174
1970,0.000002,0.000193
1971,0.000001,0.000160
1972,0.000002,0.000154
1973,0.000000,0.000130
1974,0.000000,0.000120
1975,0.000000,0.000099
1976,0.000002,0.000091
1977,0.000002,0.000088
1978,0.000000,0.000088
1979,0.000000,0.000076
1980,0.000002,0.000077
1981,0.000000,0.000074
1982,0.000001,0.000063
1983,0.000000,0.000064
1984,0.000000,0.000096
1985,0.000002,0.000115
1986,0.000002,0.000165
1987,0.000000,0.000184
1988,0.000001,0.000174
1989,0.000000,0.000179
1990,0.000000,0.000155
1991,0.000000,0.000142
1992,0.000000,0.000117
1993,0.000000,0.000119
1994,0.000000,0.000096
1995,0.000000,0.000092
1996,0.000000,0.000084
1997,0.000000,0.000081
1998,0.000000,0.000080
1999,0.000000,0.000057
2000,0.000000,0.000059
2001,0.000000,0.000061
2002,0.000000,0.000055
2003,0.000000,0.000053
2004,0.000000,0.000059
2005,0.000000,0.000055
2006,0.000000,0.000053
2007,0.000000,0.000064
2008,0.000000,0.000084
2009,0.000000,0.000127
2010,0.000000,0.000160
2011,0.000000,0.000206
2012,0.000000,0.000230
2013,0.000000,0.000215
2014,0.000000,0.000213
2015,0.000000,0.000204
2016,0.000000,0.000191
2017,0.000000,0.000192
2018,0.000000,0.000174
2019,0.000000,0.000183
2020,0.000000,0.000150
