year,Dieter
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,11
1954,6
1955,10
1956,14
1957,18
1958,16
1959,12
1960,19
1961,22
1962,33
1963,23
1964,26
1965,27
1966,34
1967,36
1968,25
1969,30
1970,26
1971,13
1972,8
1973,16
1974,15
1975,20
1976,9
1977,14
1978,6
1979,12
1980,13
1981,7
1982,8
1983,7
1984,7
1985,8
1986,19
1987,15
1988,6
1989,13
1990,15
1991,13
1992,17
1993,7
1994,12
1995,9
1996,12
1997,8
1998,7
1999,6
2000,12
2001,6
2002,12
2003,12
2004,11
2005,13
2006,13
2007,9
2008,7
2009,6
2010,16
2011,12
2012,9
