year,Domingo (F),Domingo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000030
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000023
1903,0.000000,0.000031
1904,0.000000,0.000027
1905,0.000000,0.000026
1906,0.000000,0.000019
1907,0.000000,0.000030
1908,0.000000,0.000027
1909,0.000000,0.000045
1910,0.000000,0.000041
1911,0.000000,0.000031
1912,0.000000,0.000020
1913,0.000000,0.000029
1914,0.000000,0.000019
1915,0.000000,0.000042
1916,0.000000,0.000050
1917,0.000000,0.000056
1918,0.000000,0.000052
1919,0.000002,0.000062
1920,0.000000,0.000054
1921,0.000003,0.000060
1922,0.000000,0.000063
1923,0.000000,0.000050
1924,0.000000,0.000062
1925,0.000000,0.000061
1926,0.000000,0.000053
1927,0.000000,0.000066
1928,0.000000,0.000073
1929,0.000000,0.000064
1930,0.000000,0.000063
1931,0.000000,0.000064
1932,0.000000,0.000051
1933,0.000003,0.000058
1934,0.000000,0.000060
1935,0.000000,0.000063
1936,0.000000,0.000046
1937,0.000000,0.000050
1938,0.000000,0.000058
1939,0.000002,0.000064
1940,0.000000,0.000053
1941,0.000000,0.000060
1942,0.000000,0.000045
1943,0.000000,0.000055
1944,0.000000,0.000064
1945,0.000000,0.000052
1946,0.000000,0.000059
1947,0.000001,0.000053
1948,0.000000,0.000051
1949,0.000000,0.000051
1950,0.000000,0.000046
1951,0.000000,0.000048
1952,0.000000,0.000041
1953,0.000000,0.000039
1954,0.000000,0.000042
1955,0.000000,0.000043
1956,0.000000,0.000041
1957,0.000000,0.000038
1958,0.000000,0.000039
1959,0.000000,0.000039
1960,0.000000,0.000042
1961,0.000000,0.000042
1962,0.000000,0.000039
1963,0.000000,0.000042
1964,0.000000,0.000037
1965,0.000000,0.000047
1966,0.000000,0.000038
1967,0.000000,0.000044
1968,0.000000,0.000043
1969,0.000000,0.000042
1970,0.000000,0.000050
1971,0.000000,0.000045
1972,0.000000,0.000043
1973,0.000000,0.000057
1974,0.000000,0.000048
1975,0.000000,0.000057
1976,0.000000,0.000054
1977,0.000000,0.000048
1978,0.000000,0.000045
1979,0.000000,0.000044
1980,0.000000,0.000043
1981,0.000000,0.000045
1982,0.000000,0.000040
1983,0.000000,0.000036
1984,0.000000,0.000039
1985,0.000000,0.000036
1986,0.000000,0.000033
1987,0.000000,0.000039
1988,0.000000,0.000028
1989,0.000000,0.000035
1990,0.000000,0.000039
1991,0.000000,0.000032
1992,0.000000,0.000034
1993,0.000000,0.000034
1994,0.000000,0.000031
1995,0.000000,0.000028
1996,0.000000,0.000029
1997,0.000000,0.000032
1998,0.000000,0.000032
1999,0.000000,0.000028
2000,0.000000,0.000025
2001,0.000000,0.000020
2002,0.000000,0.000028
2003,0.000000,0.000026
2004,0.000000,0.000022
2005,0.000000,0.000029
2006,0.000000,0.000026
2007,0.000000,0.000024
2008,0.000000,0.000025
2009,0.000000,0.000018
2010,0.000000,0.000018
2011,0.000000,0.000016
2012,0.000000,0.000020
2013,0.000000,0.000020
