year,Delores (F),Delores (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000020,0.000000
1891,0.000000,0.000000
1892,0.000021,0.000000
1893,0.000000,0.000000
1894,0.000024,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000017,0.000000
1898,0.000021,0.000000
1899,0.000056,0.000000
1900,0.000042,0.000000
1901,0.000038,0.000000
1902,0.000057,0.000000
1903,0.000058,0.000000
1904,0.000069,0.000000
1905,0.000057,0.000000
1906,0.000065,0.000000
1907,0.000071,0.000000
1908,0.000096,0.000000
1909,0.000082,0.000000
1910,0.000085,0.000000
1911,0.000116,0.000000
1912,0.000112,0.000000
1913,0.000099,0.000000
1914,0.000143,0.000000
1915,0.000129,0.000000
1916,0.000140,0.000000
1917,0.000196,0.000000
1918,0.000201,0.000000
1919,0.000230,0.000000
1920,0.000324,0.000000
1921,0.000347,0.000000
1922,0.000398,0.000003
1923,0.000513,0.000000
1924,0.000556,0.000003
1925,0.000637,0.000003
1926,0.000730,0.000002
1927,0.000869,0.000003
1928,0.001243,0.000007
1929,0.001604,0.000006
1930,0.001844,0.000013
1931,0.001925,0.000010
1932,0.001966,0.000009
1933,0.001946,0.000009
1934,0.001921,0.000010
1935,0.001815,0.000007
1936,0.001809,0.000009
1937,0.001657,0.000007
1938,0.001501,0.000009
1939,0.001370,0.000008
1940,0.001272,0.000009
1941,0.001297,0.000004
1942,0.001161,0.000003
1943,0.001038,0.000004
1944,0.001025,0.000005
1945,0.000921,0.000003
1946,0.000870,0.000005
1947,0.000823,0.000002
1948,0.000822,0.000002
1949,0.000726,0.000003
1950,0.000702,0.000003
1951,0.000633,0.000002
1952,0.000577,0.000001
1953,0.000563,0.000002
1954,0.000489,0.000002
1955,0.000446,0.000001
1956,0.000447,0.000000
1957,0.000394,0.000002
1958,0.000386,0.000002
1959,0.000331,0.000000
1960,0.000324,0.000000
1961,0.000288,0.000000
1962,0.000259,0.000001
1963,0.000253,0.000000
1964,0.000229,0.000002
1965,0.000202,0.000000
1966,0.000201,0.000000
1967,0.000170,0.000000
1968,0.000154,0.000000
1969,0.000131,0.000000
1970,0.000123,0.000000
1971,0.000099,0.000000
1972,0.000086,0.000000
1973,0.000093,0.000000
1974,0.000076,0.000000
1975,0.000063,0.000000
1976,0.000053,0.000000
1977,0.000058,0.000000
1978,0.000053,0.000000
1979,0.000047,0.000000
1980,0.000052,0.000000
1981,0.000045,0.000000
1982,0.000042,0.000000
1983,0.000032,0.000000
1984,0.000034,0.000000
1985,0.000029,0.000000
1986,0.000024,0.000000
1987,0.000025,0.000000
1988,0.000022,0.000000
1989,0.000020,0.000000
1990,0.000023,0.000000
1991,0.000021,0.000000
1992,0.000021,0.000000
1993,0.000020,0.000000
1994,0.000019,0.000000
1995,0.000012,0.000000
1996,0.000012,0.000000
1997,0.000013,0.000000
1998,0.000010,0.000000
1999,0.000010,0.000000
2000,0.000010,0.000000
2001,0.000009,0.000000
2002,0.000006,0.000000
2003,0.000007,0.000000
2004,0.000008,0.000000
2005,0.000008,0.000000
2006,0.000006,0.000000
2007,0.000005,0.000000
2008,0.000006,0.000000
2009,0.000004,0.000000
2010,0.000004,0.000000
2011,0.000004,0.000000
2012,0.000005,0.000000
2013,0.000005,0.000000
2014,0.000004,0.000000
2015,0.000005,0.000000
2016,0.000007,0.000000
2017,0.000004,0.000000
2018,0.000005,0.000000
2019,0.000006,0.000000
2020,0.000005,0.000000
