year,Devona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,9
1914,6
1915,8
1916,8
1917,8
1918,11
1919,10
1920,15
1921,14
1922,12
1923,10
1924,13
1925,12
1926,17
1927,23
1928,16
1929,19
1930,15
1931,19
1932,20
1933,18
1934,13
1935,18
1936,16
1937,15
1938,17
1939,7
1940,27
1941,18
1942,9
1943,15
1944,8
1945,10
1946,6
1947,16
1948,19
1949,27
1950,28
1951,26
1952,30
1953,20
1954,26
1955,21
1956,13
1957,31
1958,26
1959,26
1960,26
1961,28
1962,23
1963,26
1964,27
1965,26
1966,28
1967,52
1968,68
1969,69
1970,97
1971,96
1972,79
1973,64
1974,83
1975,86
1976,69
1977,78
1978,80
1979,61
1980,53
1981,40
1982,27
1983,33
1984,29
1985,31
1986,29
1987,52
1988,44
1989,42
1990,59
1991,28
1992,54
1993,39
1994,44
1995,30
1996,18
1997,14
1998,16
1999,9
2000,11
2001,12
2002,7
2003,7
2004,8
2005,8
2006,0
2007,5
2008,8
2009,0
2010,0
2011,0
2012,0
