year,Diamantina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,10
1917,9
1918,5
1919,0
1920,7
1921,8
1922,7
1923,8
1924,5
1925,7
1926,6
1927,12
1928,10
1929,8
1930,11
1931,13
1932,12
1933,10
1934,9
1935,10
1936,11
1937,6
1938,5
1939,11
1940,8
1941,11
1942,8
1943,7
1944,11
1945,13
1946,14
1947,19
1948,15
1949,10
1950,9
1951,12
1952,11
1953,15
1954,10
1955,9
1956,12
1957,12
1958,9
1959,13
1960,14
1961,10
1962,9
1963,8
1964,9
1965,6
1966,11
1967,6
1968,12
1969,8
1970,7
1971,10
1972,5
1973,8
1974,0
1975,6
1976,7
1977,5
1978,6
1979,11
1980,5
1981,7
1982,8
1983,10
1984,11
1985,7
1986,5
1987,5
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
