year,Domenica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,8
1904,5
1905,9
1906,11
1907,11
1908,14
1909,9
1910,14
1911,15
1912,26
1913,33
1914,52
1915,50
1916,52
1917,65
1918,60
1919,52
1920,46
1921,56
1922,52
1923,55
1924,63
1925,42
1926,46
1927,56
1928,49
1929,52
1930,53
1931,35
1932,30
1933,30
1934,18
1935,27
1936,38
1937,24
1938,25
1939,23
1940,20
1941,10
1942,20
1943,13
1944,18
1945,12
1946,13
1947,13
1948,26
1949,17
1950,15
1951,13
1952,16
1953,18
1954,13
1955,26
1956,25
1957,27
1958,24
1959,19
1960,23
1961,21
1962,29
1963,18
1964,30
1965,30
1966,22
1967,22
1968,35
1969,23
1970,22
1971,26
1972,21
1973,30
1974,19
1975,23
1976,30
1977,33
1978,35
1979,118
1980,55
1981,33
1982,29
1983,35
1984,26
1985,32
1986,16
1987,23
1988,24
1989,24
1990,21
1991,32
1992,38
1993,36
1994,24
1995,28
1996,36
1997,29
1998,26
1999,28
2000,28
2001,26
2002,21
2003,21
2004,18
2005,28
2006,22
2007,27
2008,33
2009,25
2010,26
2011,29
2012,20
