year,Deirdre
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,8
1925,5
1926,8
1927,6
1928,10
1929,5
1930,15
1931,17
1932,17
1933,12
1934,12
1935,28
1936,17
1937,17
1938,17
1939,15
1940,32
1941,37
1942,37
1943,29
1944,67
1945,78
1946,121
1947,149
1948,142
1949,129
1950,145
1951,137
1952,193
1953,182
1954,185
1955,207
1956,274
1957,300
1958,273
1959,379
1960,568
1961,795
1962,749
1963,675
1964,721
1965,544
1966,561
1967,507
1968,563
1969,631
1970,523
1971,454
1972,353
1973,319
1974,303
1975,258
1976,268
1977,229
1978,207
1979,208
1980,240
1981,211
1982,265
1983,206
1984,183
1985,191
1986,188
1987,212
1988,177
1989,175
1990,186
1991,162
1992,134
1993,140
1994,112
1995,114
1996,109
1997,75
1998,79
1999,94
2000,82
2001,71
2002,59
2003,58
2004,70
2005,52
2006,42
2007,44
2008,29
2009,37
2010,27
2011,22
2012,20
