year,Daena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,8
1962,7
1963,10
1964,8
1965,0
1966,7
1967,0
1968,8
1969,6
1970,8
1971,11
1972,16
1973,12
1974,6
1975,15
1976,5
1977,11
1978,13
1979,13
1980,15
1981,13
1982,11
1983,13
1984,15
1985,16
1986,13
1987,13
1988,14
1989,11
1990,7
1991,9
1992,5
1993,8
1994,16
1995,11
1996,8
1997,14
1998,7
1999,13
2000,11
2001,18
2002,13
2003,10
2004,10
2005,15
2006,18
2007,10
2008,10
2009,17
2010,10
2011,7
2012,14
