year,Derald
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,5
1916,8
1917,5
1918,10
1919,18
1920,17
1921,24
1922,30
1923,28
1924,24
1925,33
1926,47
1927,36
1928,41
1929,75
1930,58
1931,57
1932,55
1933,40
1934,54
1935,54
1936,60
1937,57
1938,55
1939,38
1940,49
1941,35
1942,45
1943,38
1944,40
1945,34
1946,32
1947,41
1948,32
1949,30
1950,30
1951,29
1952,21
1953,44
1954,32
1955,26
1956,31
1957,46
1958,33
1959,39
1960,26
1961,41
1962,30
1963,42
1964,29
1965,29
1966,24
1967,19
1968,23
1969,27
1970,16
1971,12
1972,15
1973,19
1974,14
1975,12
1976,6
1977,7
1978,8
1979,11
1980,15
1981,11
1982,14
1983,13
1984,9
1985,9
1986,7
1987,6
1988,7
1989,6
1990,10
1991,8
1992,0
1993,5
1994,6
1995,0
1996,6
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
