year,Dalton (F),Dalton (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000033
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000025
1894,0.000000,0.000038
1895,0.000000,0.000031
1896,0.000000,0.000020
1897,0.000000,0.000020
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000036
1901,0.000000,0.000000
1902,0.000000,0.000034
1903,0.000000,0.000024
1904,0.000000,0.000020
1905,0.000000,0.000026
1906,0.000000,0.000019
1907,0.000000,0.000028
1908,0.000000,0.000033
1909,0.000000,0.000029
1910,0.000000,0.000037
1911,0.000000,0.000036
1912,0.000000,0.000051
1913,0.000000,0.000054
1914,0.000000,0.000047
1915,0.000000,0.000051
1916,0.000003,0.000063
1917,0.000000,0.000056
1918,0.000000,0.000049
1919,0.000000,0.000058
1920,0.000000,0.000063
1921,0.000000,0.000063
1922,0.000000,0.000069
1923,0.000000,0.000060
1924,0.000002,0.000058
1925,0.000000,0.000076
1926,0.000002,0.000063
1927,0.000000,0.000069
1928,0.000000,0.000057
1929,0.000002,0.000060
1930,0.000000,0.000064
1931,0.000000,0.000069
1932,0.000000,0.000075
1933,0.000000,0.000072
1934,0.000000,0.000069
1935,0.000002,0.000076
1936,0.000000,0.000072
1937,0.000000,0.000066
1938,0.000000,0.000053
1939,0.000000,0.000055
1940,0.000000,0.000056
1941,0.000000,0.000057
1942,0.000000,0.000046
1943,0.000000,0.000049
1944,0.000000,0.000042
1945,0.000000,0.000039
1946,0.000000,0.000041
1947,0.000000,0.000036
1948,0.000000,0.000036
1949,0.000000,0.000034
1950,0.000000,0.000028
1951,0.000000,0.000033
1952,0.000000,0.000032
1953,0.000000,0.000025
1954,0.000000,0.000023
1955,0.000000,0.000026
1956,0.000000,0.000023
1957,0.000000,0.000023
1958,0.000000,0.000024
1959,0.000000,0.000023
1960,0.000000,0.000022
1961,0.000000,0.000018
1962,0.000000,0.000021
1963,0.000000,0.000021
1964,0.000000,0.000026
1965,0.000000,0.000015
1966,0.000000,0.000018
1967,0.000000,0.000026
1968,0.000000,0.000024
1969,0.000000,0.000031
1970,0.000000,0.000025
1971,0.000000,0.000027
1972,0.000000,0.000023
1973,0.000000,0.000023
1974,0.000000,0.000021
1975,0.000000,0.000017
1976,0.000000,0.000018
1977,0.000000,0.000024
1978,0.000000,0.000016
1979,0.000000,0.000021
1980,0.000000,0.000021
1981,0.000000,0.000025
1982,0.000000,0.000027
1983,0.000000,0.000031
1984,0.000000,0.000031
1985,0.000000,0.000036
1986,0.000000,0.000045
1987,0.000001,0.000055
1988,0.000002,0.000058
1989,0.000001,0.000105
1990,0.000001,0.000398
1991,0.000003,0.000604
1992,0.000004,0.000756
1993,0.000004,0.000900
1994,0.000006,0.001142
1995,0.000008,0.001145
1996,0.000005,0.001092
1997,0.000007,0.001169
1998,0.000007,0.001241
1999,0.000005,0.001230
2000,0.000007,0.001177
2001,0.000004,0.001041
2002,0.000003,0.000879
2003,0.000002,0.000752
2004,0.000008,0.000642
2005,0.000000,0.000587
2006,0.000003,0.000490
2007,0.000003,0.000459
2008,0.000002,0.000442
2009,0.000003,0.000386
2010,0.000001,0.000360
2011,0.000000,0.000348
2012,0.000002,0.000337
