year,Dick (F),Dick (M)
1880,0.000000,0.000124
1881,0.000000,0.000104
1882,0.000000,0.000063
1883,0.000000,0.000111
1884,0.000000,0.000152
1885,0.000000,0.000112
1886,0.000000,0.000090
1887,0.000000,0.000109
1888,0.000000,0.000090
1889,0.000000,0.000076
1890,0.000000,0.000103
1891,0.000000,0.000063
1892,0.000000,0.000072
1893,0.000000,0.000061
1894,0.000000,0.000074
1895,0.000000,0.000063
1896,0.000000,0.000076
1897,0.000000,0.000066
1898,0.000000,0.000076
1899,0.000000,0.000088
1900,0.000000,0.000100
1901,0.000000,0.000061
1902,0.000000,0.000091
1903,0.000000,0.000047
1904,0.000000,0.000059
1905,0.000000,0.000085
1906,0.000000,0.000075
1907,0.000000,0.000082
1908,0.000000,0.000070
1909,0.000000,0.000090
1910,0.000000,0.000088
1911,0.000000,0.000057
1912,0.000005,0.000078
1913,0.000000,0.000083
1914,0.000000,0.000091
1915,0.000000,0.000091
1916,0.000000,0.000114
1917,0.000000,0.000110
1918,0.000003,0.000116
1919,0.000000,0.000127
1920,0.000003,0.000145
1921,0.000000,0.000149
1922,0.000000,0.000159
1923,0.000000,0.000152
1924,0.000000,0.000186
1925,0.000003,0.000241
1926,0.000000,0.000283
1927,0.000000,0.000334
1928,0.000000,0.000369
1929,0.000002,0.000384
1930,0.000003,0.000423
1931,0.000003,0.000471
1932,0.000000,0.000499
1933,0.000003,0.000523
1934,0.000000,0.000545
1935,0.000000,0.000523
1936,0.000000,0.000524
1937,0.000000,0.000473
1938,0.000000,0.000423
1939,0.000000,0.000398
1940,0.000000,0.000396
1941,0.000000,0.000367
1942,0.000000,0.000316
1943,0.000000,0.000303
1944,0.000000,0.000300
1945,0.000000,0.000286
1946,0.000000,0.000259
1947,0.000000,0.000210
1948,0.000000,0.000160
1949,0.000000,0.000098
1950,0.000000,0.000077
1951,0.000000,0.000067
1952,0.000000,0.000057
1953,0.000000,0.000056
1954,0.000000,0.000042
1955,0.000000,0.000045
1956,0.000000,0.000047
1957,0.000000,0.000048
1958,0.000000,0.000057
1959,0.000000,0.000053
1960,0.000000,0.000045
1961,0.000000,0.000044
1962,0.000000,0.000037
1963,0.000000,0.000032
1964,0.000000,0.000028
1965,0.000000,0.000027
1966,0.000000,0.000019
1967,0.000000,0.000022
1968,0.000000,0.000018
1969,0.000000,0.000016
1970,0.000000,0.000014
1971,0.000000,0.000011
1972,0.000000,0.000009
1973,0.000000,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000008
1976,0.000000,0.000007
1977,0.000000,0.000006
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000006
1981,0.000000,0.000003
1982,0.000000,0.000005
1983,0.000000,0.000005
1984,0.000000,0.000003
1985,0.000000,0.000004
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000000
1989,0.000000,0.000003
1990,0.000000,0.000003
1991,0.000000,0.000000
1992,0.000000,0.000001
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
