year,Darrin (F),Darrin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000001
1948,0.000000,0.000001
1949,0.000000,0.000000
1950,0.000000,0.000001
1951,0.000000,0.000002
1952,0.000000,0.000002
1953,0.000000,0.000003
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000003
1958,0.000000,0.000007
1959,0.000001,0.000025
1960,0.000001,0.000053
1961,0.000000,0.000056
1962,0.000000,0.000076
1963,0.000000,0.000079
1964,0.000002,0.000206
1965,0.000005,0.000898
1966,0.000003,0.000738
1967,0.000004,0.000598
1968,0.000004,0.000615
1969,0.000003,0.000522
1970,0.000002,0.000423
1971,0.000001,0.000368
1972,0.000000,0.000274
1973,0.000002,0.000217
1974,0.000002,0.000196
1975,0.000002,0.000194
1976,0.000000,0.000154
1977,0.000000,0.000114
1978,0.000000,0.000109
1979,0.000000,0.000082
1980,0.000000,0.000082
1981,0.000000,0.000081
1982,0.000000,0.000082
1983,0.000000,0.000096
1984,0.000001,0.000104
1985,0.000002,0.000106
1986,0.000000,0.000107
1987,0.000001,0.000107
1988,0.000000,0.000109
1989,0.000000,0.000109
1990,0.000000,0.000095
1991,0.000000,0.000100
1992,0.000000,0.000084
1993,0.000000,0.000089
1994,0.000000,0.000082
1995,0.000001,0.000077
1996,0.000000,0.000067
1997,0.000000,0.000065
1998,0.000000,0.000059
1999,0.000000,0.000052
2000,0.000000,0.000048
2001,0.000000,0.000047
2002,0.000000,0.000046
2003,0.000000,0.000046
2004,0.000000,0.000044
2005,0.000000,0.000043
2006,0.000000,0.000034
2007,0.000000,0.000031
2008,0.000000,0.000032
2009,0.000000,0.000030
2010,0.000000,0.000026
2011,0.000000,0.000023
2012,0.000000,0.000021
2013,0.000000,0.000022
