year,Dawson (F),Dawson (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000032
1888,0.000000,0.000027
1889,0.000000,0.000017
1890,0.000000,0.000023
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000025
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000012
1910,0.000000,0.000019
1911,0.000000,0.000020
1912,0.000000,0.000014
1913,0.000000,0.000017
1914,0.000000,0.000017
1915,0.000000,0.000016
1916,0.000000,0.000012
1917,0.000000,0.000015
1918,0.000000,0.000013
1919,0.000000,0.000013
1920,0.000000,0.000015
1921,0.000000,0.000015
1922,0.000000,0.000015
1923,0.000000,0.000012
1924,0.000000,0.000015
1925,0.000000,0.000013
1926,0.000000,0.000012
1927,0.000000,0.000009
1928,0.000000,0.000015
1929,0.000000,0.000010
1930,0.000000,0.000010
1931,0.000000,0.000013
1932,0.000000,0.000009
1933,0.000000,0.000010
1934,0.000000,0.000008
1935,0.000000,0.000013
1936,0.000000,0.000014
1937,0.000000,0.000012
1938,0.000000,0.000006
1939,0.000000,0.000015
1940,0.000000,0.000013
1941,0.000000,0.000007
1942,0.000000,0.000008
1943,0.000000,0.000007
1944,0.000000,0.000010
1945,0.000000,0.000006
1946,0.000000,0.000007
1947,0.000000,0.000011
1948,0.000000,0.000011
1949,0.000000,0.000009
1950,0.000000,0.000008
1951,0.000000,0.000009
1952,0.000000,0.000007
1953,0.000000,0.000007
1954,0.000000,0.000006
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000004
1960,0.000000,0.000004
1961,0.000000,0.000004
1962,0.000000,0.000005
1963,0.000000,0.000005
1964,0.000000,0.000003
1965,0.000000,0.000003
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000004
1970,0.000000,0.000007
1971,0.000000,0.000005
1972,0.000000,0.000004
1973,0.000000,0.000007
1974,0.000000,0.000012
1975,0.000000,0.000006
1976,0.000000,0.000008
1977,0.000000,0.000005
1978,0.000000,0.000006
1979,0.000000,0.000007
1980,0.000000,0.000009
1981,0.000000,0.000007
1982,0.000000,0.000009
1983,0.000000,0.000005
1984,0.000000,0.000009
1985,0.000000,0.000010
1986,0.000000,0.000008
1987,0.000000,0.000012
1988,0.000000,0.000013
1989,0.000000,0.000017
1990,0.000000,0.000016
1991,0.000000,0.000019
1992,0.000000,0.000022
1993,0.000000,0.000031
1994,0.000000,0.000043
1995,0.000000,0.000041
1996,0.000000,0.000053
1997,0.000000,0.000058
1998,0.000005,0.000515
1999,0.000009,0.000759
2000,0.000010,0.000612
2001,0.000006,0.000542
2002,0.000009,0.000523
2003,0.000007,0.000475
2004,0.000007,0.000462
2005,0.000005,0.000416
2006,0.000007,0.000392
2007,0.000005,0.000353
2008,0.000006,0.000329
2009,0.000007,0.000302
2010,0.000006,0.000316
2011,0.000007,0.000277
2012,0.000009,0.000283
2013,0.000009,0.000284
2014,0.000012,0.000293
2015,0.000018,0.000430
2016,0.000022,0.000489
2017,0.000018,0.000564
2018,0.000028,0.000598
2019,0.000024,0.000565
2020,0.000022,0.000577
