year,Damone
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,8
1961,6
1962,7
1963,14
1964,6
1965,10
1966,16
1967,13
1968,25
1969,14
1970,25
1971,25
1972,34
1973,29
1974,42
1975,35
1976,38
1977,28
1978,21
1979,23
1980,14
1981,22
1982,14
1983,20
1984,21
1985,19
1986,16
1987,21
1988,30
1989,26
1990,21
1991,42
1992,36
1993,26
1994,22
1995,20
1996,19
1997,25
1998,19
1999,22
2000,22
2001,23
2002,28
2003,20
2004,18
2005,20
2006,27
2007,22
2008,14
2009,17
2010,17
2011,16
2012,14
