year,Darran
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,9
1959,17
1960,20
1961,16
1962,24
1963,32
1964,21
1965,54
1966,34
1967,32
1968,33
1969,34
1970,36
1971,28
1972,19
1973,16
1974,15
1975,13
1976,16
1977,10
1978,0
1979,9
1980,7
1981,8
1982,13
1983,10
1984,5
1985,12
1986,10
1987,16
1988,11
1989,17
1990,11
1991,7
1992,11
1993,13
1994,8
1995,11
1996,11
1997,10
1998,6
1999,7
2000,5
2001,10
2002,7
2003,9
2004,6
2005,7
2006,6
2007,10
2008,5
2009,0
2010,5
2011,5
2012,6
