year,Doyle (F),Doyle (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000031
1890,0.000000,0.000017
1891,0.000000,0.000024
1892,0.000000,0.000018
1893,0.000000,0.000015
1894,0.000000,0.000024
1895,0.000000,0.000020
1896,0.000000,0.000022
1897,0.000000,0.000043
1898,0.000000,0.000037
1899,0.000000,0.000035
1900,0.000000,0.000033
1901,0.000000,0.000029
1902,0.000000,0.000065
1903,0.000000,0.000042
1904,0.000000,0.000032
1905,0.000000,0.000050
1906,0.000000,0.000054
1907,0.000000,0.000082
1908,0.000000,0.000061
1909,0.000000,0.000049
1910,0.000000,0.000069
1911,0.000000,0.000081
1912,0.000000,0.000116
1913,0.000000,0.000122
1914,0.000006,0.000140
1915,0.000006,0.000144
1916,0.000003,0.000146
1917,0.000002,0.000163
1918,0.000004,0.000148
1919,0.000000,0.000149
1920,0.000004,0.000175
1921,0.000006,0.000199
1922,0.000003,0.000194
1923,0.000002,0.000199
1924,0.000003,0.000196
1925,0.000000,0.000215
1926,0.000003,0.000216
1927,0.000003,0.000246
1928,0.000003,0.000255
1929,0.000003,0.000255
1930,0.000003,0.000270
1931,0.000005,0.000317
1932,0.000005,0.000273
1933,0.000005,0.000306
1934,0.000003,0.000293
1935,0.000003,0.000301
1936,0.000004,0.000287
1937,0.000003,0.000270
1938,0.000002,0.000264
1939,0.000000,0.000258
1940,0.000000,0.000270
1941,0.000002,0.000237
1942,0.000000,0.000208
1943,0.000000,0.000185
1944,0.000003,0.000197
1945,0.000000,0.000172
1946,0.000002,0.000159
1947,0.000001,0.000172
1948,0.000002,0.000154
1949,0.000000,0.000170
1950,0.000002,0.000149
1951,0.000002,0.000141
1952,0.000000,0.000148
1953,0.000000,0.000126
1954,0.000000,0.000129
1955,0.000001,0.000136
1956,0.000000,0.000127
1957,0.000002,0.000119
1958,0.000000,0.000111
1959,0.000002,0.000107
1960,0.000000,0.000097
1961,0.000000,0.000092
1962,0.000001,0.000106
1963,0.000000,0.000092
1964,0.000000,0.000097
1965,0.000000,0.000086
1966,0.000000,0.000103
1967,0.000000,0.000082
1968,0.000000,0.000084
1969,0.000000,0.000079
1970,0.000000,0.000065
1971,0.000000,0.000062
1972,0.000000,0.000051
1973,0.000000,0.000049
1974,0.000000,0.000054
1975,0.000000,0.000041
1976,0.000000,0.000039
1977,0.000000,0.000033
1978,0.000000,0.000031
1979,0.000000,0.000029
1980,0.000000,0.000025
1981,0.000000,0.000025
1982,0.000000,0.000022
1983,0.000000,0.000019
1984,0.000000,0.000019
1985,0.000000,0.000017
1986,0.000000,0.000015
1987,0.000000,0.000014
1988,0.000000,0.000016
1989,0.000000,0.000016
1990,0.000000,0.000015
1991,0.000000,0.000011
1992,0.000000,0.000015
1993,0.000000,0.000012
1994,0.000000,0.000011
1995,0.000000,0.000012
1996,0.000000,0.000008
1997,0.000000,0.000008
1998,0.000000,0.000010
1999,0.000000,0.000009
2000,0.000000,0.000010
2001,0.000000,0.000007
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000007
2005,0.000000,0.000009
2006,0.000000,0.000008
2007,0.000000,0.000007
2008,0.000000,0.000007
2009,0.000000,0.000006
2010,0.000000,0.000005
2011,0.000000,0.000003
2012,0.000000,0.000003
2013,0.000000,0.000005
2014,0.000000,0.000002
2015,0.000000,0.000003
2016,0.000000,0.000003
2017,0.000000,0.000005
2018,0.000000,0.000003
2019,0.000000,0.000003
2020,0.000000,0.000003
