year,Delories
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,8
1918,7
1919,9
1920,12
1921,9
1922,7
1923,6
1924,10
1925,14
1926,19
1927,20
1928,32
1929,30
1930,33
1931,27
1932,34
1933,39
1934,35
1935,34
1936,30
1937,29
1938,30
1939,30
1940,43
1941,49
1942,47
1943,36
1944,35
1945,35
1946,49
1947,48
1948,40
1949,38
1950,33
1951,28
1952,35
1953,25
1954,32
1955,13
1956,25
1957,14
1958,14
1959,21
1960,15
1961,13
1962,0
1963,9
1964,0
1965,8
1966,10
1967,8
1968,7
1969,5
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
