year,Dimple
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,7
1894,0
1895,0
1896,0
1897,0
1898,9
1899,9
1900,9
1901,10
1902,11
1903,8
1904,11
1905,9
1906,18
1907,9
1908,15
1909,19
1910,19
1911,15
1912,23
1913,19
1914,33
1915,46
1916,57
1917,52
1918,58
1919,77
1920,75
1921,63
1922,64
1923,65
1924,78
1925,66
1926,76
1927,64
1928,54
1929,61
1930,49
1931,41
1932,40
1933,45
1934,57
1935,56
1936,41
1937,56
1938,45
1939,37
1940,36
1941,37
1942,28
1943,26
1944,23
1945,36
1946,30
1947,33
1948,14
1949,23
1950,15
1951,22
1952,13
1953,15
1954,27
1955,20
1956,14
1957,14
1958,14
1959,12
1960,11
1961,6
1962,8
1963,6
1964,14
1965,14
1966,9
1967,0
1968,0
1969,5
1970,5
1971,7
1972,0
1973,0
1974,11
1975,12
1976,10
1977,5
1978,8
1979,9
1980,10
1981,14
1982,13
1983,12
1984,11
1985,9
1986,9
1987,13
1988,9
1989,9
1990,10
1991,10
1992,5
1993,5
1994,5
1995,10
1996,9
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
