year,Drake (F),Drake (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000002
1919,0.000000,0.000000
1920,0.000000,0.000003
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000002
1930,0.000000,0.000002
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000004
1942,0.000000,0.000004
1943,0.000000,0.000005
1944,0.000000,0.000005
1945,0.000000,0.000004
1946,0.000000,0.000009
1947,0.000000,0.000009
1948,0.000000,0.000012
1949,0.000000,0.000009
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000011
1953,0.000000,0.000008
1954,0.000000,0.000009
1955,0.000000,0.000009
1956,0.000000,0.000011
1957,0.000000,0.000010
1958,0.000000,0.000012
1959,0.000000,0.000012
1960,0.000000,0.000013
1961,0.000000,0.000019
1962,0.000000,0.000016
1963,0.000000,0.000012
1964,0.000000,0.000016
1965,0.000000,0.000019
1966,0.000000,0.000016
1967,0.000000,0.000014
1968,0.000000,0.000016
1969,0.000000,0.000015
1970,0.000000,0.000017
1971,0.000000,0.000012
1972,0.000000,0.000014
1973,0.000000,0.000013
1974,0.000000,0.000014
1975,0.000000,0.000006
1976,0.000000,0.000009
1977,0.000000,0.000009
1978,0.000000,0.000008
1979,0.000000,0.000013
1980,0.000000,0.000014
1981,0.000000,0.000019
1982,0.000000,0.000015
1983,0.000000,0.000024
1984,0.000000,0.000019
1985,0.000000,0.000029
1986,0.000000,0.000034
1987,0.000000,0.000038
1988,0.000000,0.000062
1989,0.000000,0.000070
1990,0.000000,0.000086
1991,0.000000,0.000109
1992,0.000000,0.000137
1993,0.000000,0.000181
1994,0.000002,0.000195
1995,0.000002,0.000217
1996,0.000002,0.000238
1997,0.000002,0.000269
1998,0.000002,0.000287
1999,0.000002,0.000284
2000,0.000002,0.000336
2001,0.000002,0.000333
2002,0.000000,0.000313
2003,0.000002,0.000297
2004,0.000002,0.000332
2005,0.000002,0.000348
2006,0.000000,0.000356
2007,0.000000,0.000381
2008,0.000000,0.000404
2009,0.000000,0.000415
2010,0.000002,0.000508
2011,0.000000,0.000440
2012,0.000000,0.000423
2013,0.000000,0.000334
2014,0.000000,0.000254
2015,0.000000,0.000211
2016,0.000000,0.000190
2017,0.000000,0.000180
2018,0.000000,0.000195
2019,0.000000,0.000140
2020,0.000002,0.000158
