year,Duane (F),Duane (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000025
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000014
1898,0.000000,0.000018
1899,0.000000,0.000015
1900,0.000000,0.000013
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000042
1904,0.000000,0.000030
1905,0.000000,0.000012
1906,0.000000,0.000026
1907,0.000000,0.000034
1908,0.000000,0.000023
1909,0.000000,0.000041
1910,0.000000,0.000044
1911,0.000000,0.000042
1912,0.000000,0.000075
1913,0.000000,0.000069
1914,0.000004,0.000080
1915,0.000003,0.000107
1916,0.000004,0.000111
1917,0.000005,0.000104
1918,0.000003,0.000140
1919,0.000000,0.000147
1920,0.000003,0.000201
1921,0.000004,0.000234
1922,0.000000,0.000273
1923,0.000005,0.000315
1924,0.000008,0.000343
1925,0.000008,0.000384
1926,0.000007,0.000419
1927,0.000011,0.000467
1928,0.000007,0.000537
1929,0.000012,0.000569
1930,0.000010,0.000683
1931,0.000011,0.000822
1932,0.000008,0.000808
1933,0.000011,0.000882
1934,0.000010,0.000884
1935,0.000010,0.000875
1936,0.000010,0.000830
1937,0.000015,0.000766
1938,0.000014,0.000730
1939,0.000012,0.000678
1940,0.000011,0.000602
1941,0.000011,0.000629
1942,0.000010,0.000593
1943,0.000008,0.000575
1944,0.000006,0.000581
1945,0.000009,0.000597
1946,0.000007,0.000536
1947,0.000005,0.000581
1948,0.000003,0.000569
1949,0.000003,0.000572
1950,0.000005,0.000560
1951,0.000003,0.000584
1952,0.000002,0.000586
1953,0.000003,0.000607
1954,0.000004,0.000583
1955,0.000003,0.000584
1956,0.000004,0.000630
1957,0.000004,0.000622
1958,0.000002,0.000632
1959,0.000003,0.000714
1960,0.000004,0.000710
1961,0.000003,0.000659
1962,0.000003,0.000645
1963,0.000003,0.000655
1964,0.000004,0.000650
1965,0.000003,0.000627
1966,0.000004,0.000609
1967,0.000005,0.000621
1968,0.000003,0.000581
1969,0.000003,0.000543
1970,0.000005,0.000492
1971,0.000004,0.000471
1972,0.000004,0.000534
1973,0.000004,0.000442
1974,0.000003,0.000395
1975,0.000004,0.000345
1976,0.000000,0.000346
1977,0.000003,0.000330
1978,0.000000,0.000264
1979,0.000002,0.000249
1980,0.000002,0.000209
1981,0.000000,0.000177
1982,0.000000,0.000170
1983,0.000000,0.000153
1984,0.000000,0.000158
1985,0.000002,0.000159
1986,0.000001,0.000127
1987,0.000002,0.000119
1988,0.000000,0.000106
1989,0.000002,0.000104
1990,0.000000,0.000090
1991,0.000000,0.000086
1992,0.000000,0.000085
1993,0.000000,0.000072
1994,0.000000,0.000069
1995,0.000000,0.000069
1996,0.000000,0.000065
1997,0.000000,0.000056
1998,0.000000,0.000056
1999,0.000000,0.000047
2000,0.000000,0.000048
2001,0.000000,0.000047
2002,0.000000,0.000047
2003,0.000000,0.000041
2004,0.000000,0.000042
2005,0.000000,0.000038
2006,0.000000,0.000038
2007,0.000000,0.000037
2008,0.000000,0.000040
2009,0.000000,0.000031
2010,0.000000,0.000035
2011,0.000000,0.000035
2012,0.000000,0.000035
2013,0.000000,0.000030
