year,Delena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,6
1911,5
1912,0
1913,0
1914,8
1915,0
1916,5
1917,0
1918,10
1919,15
1920,22
1921,16
1922,12
1923,11
1924,15
1925,7
1926,15
1927,7
1928,10
1929,10
1930,13
1931,10
1932,17
1933,14
1934,8
1935,17
1936,14
1937,14
1938,12
1939,13
1940,8
1941,12
1942,16
1943,11
1944,15
1945,14
1946,15
1947,8
1948,20
1949,20
1950,19
1951,18
1952,24
1953,24
1954,25
1955,30
1956,25
1957,26
1958,38
1959,23
1960,22
1961,44
1962,37
1963,49
1964,42
1965,45
1966,34
1967,58
1968,34
1969,37
1970,39
1971,43
1972,38
1973,46
1974,37
1975,32
1976,23
1977,35
1978,24
1979,37
1980,27
1981,27
1982,32
1983,23
1984,22
1985,19
1986,27
1987,18
1988,21
1989,16
1990,19
1991,9
1992,16
1993,26
1994,25
1995,26
1996,22
1997,20
1998,19
1999,22
2000,14
2001,18
2002,19
2003,13
2004,13
2005,14
2006,9
2007,16
2008,11
2009,13
2010,7
2011,10
2012,13
