year,Doyal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,8
1915,15
1916,23
1917,16
1918,17
1919,14
1920,27
1921,22
1922,31
1923,29
1924,20
1925,19
1926,28
1927,22
1928,23
1929,38
1930,37
1931,33
1932,23
1933,26
1934,26
1935,31
1936,29
1937,23
1938,29
1939,20
1940,27
1941,32
1942,20
1943,37
1944,20
1945,15
1946,21
1947,29
1948,19
1949,21
1950,18
1951,13
1952,19
1953,18
1954,17
1955,11
1956,14
1957,18
1958,16
1959,11
1960,7
1961,15
1962,8
1963,5
1964,12
1965,0
1966,12
1967,6
1968,6
1969,0
1970,7
1971,0
1972,8
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,5
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
