year,Dave (F),Dave (M)
1880,0.000000,0.000650
1881,0.000000,0.000701
1882,0.000023,0.000627
1883,0.000000,0.000622
1884,0.000000,0.000653
1885,0.000000,0.000531
1886,0.000000,0.000544
1887,0.000000,0.000449
1888,0.000000,0.000488
1889,0.000000,0.000401
1890,0.000000,0.000504
1891,0.000000,0.000433
1892,0.000000,0.000413
1893,0.000000,0.000347
1894,0.000000,0.000381
1895,0.000000,0.000396
1896,0.000000,0.000330
1897,0.000000,0.000349
1898,0.000000,0.000333
1899,0.000000,0.000354
1900,0.000000,0.000369
1901,0.000000,0.000304
1902,0.000000,0.000290
1903,0.000000,0.000231
1904,0.000000,0.000253
1905,0.000000,0.000323
1906,0.000000,0.000229
1907,0.000000,0.000230
1908,0.000000,0.000237
1909,0.000000,0.000200
1910,0.000000,0.000301
1911,0.000000,0.000210
1912,0.000000,0.000225
1913,0.000000,0.000219
1914,0.000000,0.000189
1915,0.000000,0.000161
1916,0.000000,0.000170
1917,0.000002,0.000161
1918,0.000004,0.000165
1919,0.000000,0.000171
1920,0.000003,0.000165
1921,0.000000,0.000137
1922,0.000000,0.000143
1923,0.000000,0.000139
1924,0.000000,0.000144
1925,0.000000,0.000156
1926,0.000000,0.000153
1927,0.000003,0.000163
1928,0.000000,0.000143
1929,0.000000,0.000151
1930,0.000000,0.000153
1931,0.000003,0.000182
1932,0.000000,0.000183
1933,0.000000,0.000188
1934,0.000000,0.000221
1935,0.000000,0.000224
1936,0.000000,0.000253
1937,0.000000,0.000279
1938,0.000000,0.000283
1939,0.000000,0.000301
1940,0.000003,0.000334
1941,0.000003,0.000355
1942,0.000000,0.000386
1943,0.000000,0.000386
1944,0.000003,0.000419
1945,0.000000,0.000406
1946,0.000000,0.000438
1947,0.000001,0.000470
1948,0.000000,0.000436
1949,0.000000,0.000334
1950,0.000000,0.000250
1951,0.000000,0.000203
1952,0.000000,0.000203
1953,0.000000,0.000198
1954,0.000000,0.000209
1955,0.000000,0.000263
1956,0.000000,0.000329
1957,0.000002,0.000520
1958,0.000002,0.000715
1959,0.000000,0.000798
1960,0.000001,0.000733
1961,0.000002,0.000676
1962,0.000000,0.000586
1963,0.000001,0.000505
1964,0.000001,0.000395
1965,0.000000,0.000320
1966,0.000000,0.000249
1967,0.000001,0.000227
1968,0.000000,0.000198
1969,0.000001,0.000162
1970,0.000000,0.000145
1971,0.000000,0.000120
1972,0.000000,0.000100
1973,0.000000,0.000080
1974,0.000000,0.000075
1975,0.000000,0.000062
1976,0.000000,0.000059
1977,0.000000,0.000060
1978,0.000000,0.000052
1979,0.000000,0.000047
1980,0.000000,0.000046
1981,0.000000,0.000049
1982,0.000000,0.000049
1983,0.000000,0.000042
1984,0.000000,0.000044
1985,0.000000,0.000041
1986,0.000000,0.000039
1987,0.000000,0.000037
1988,0.000000,0.000044
1989,0.000000,0.000033
1990,0.000000,0.000032
1991,0.000000,0.000034
1992,0.000000,0.000032
1993,0.000000,0.000033
1994,0.000000,0.000031
1995,0.000000,0.000031
1996,0.000000,0.000025
1997,0.000000,0.000025
1998,0.000000,0.000024
1999,0.000000,0.000028
2000,0.000000,0.000025
2001,0.000000,0.000026
2002,0.000000,0.000029
2003,0.000000,0.000030
2004,0.000000,0.000026
2005,0.000000,0.000026
2006,0.000000,0.000023
2007,0.000000,0.000025
2008,0.000000,0.000024
2009,0.000000,0.000022
2010,0.000000,0.000019
2011,0.000000,0.000019
2012,0.000000,0.000021
