year,Darren (F),Darren (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000003
1940,0.000000,0.000000
1941,0.000000,0.000003
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000000
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000003
1948,0.000000,0.000002
1949,0.000000,0.000001
1950,0.000000,0.000003
1951,0.000000,0.000006
1952,0.000000,0.000018
1953,0.000000,0.000011
1954,0.000000,0.000010
1955,0.000000,0.000008
1956,0.000001,0.000011
1957,0.000001,0.000017
1958,0.000002,0.000101
1959,0.000003,0.000312
1960,0.000004,0.000532
1961,0.000004,0.000430
1962,0.000002,0.000478
1963,0.000002,0.000526
1964,0.000004,0.000680
1965,0.000007,0.001636
1966,0.000010,0.001358
1967,0.000008,0.001308
1968,0.000009,0.001374
1969,0.000008,0.001341
1970,0.000009,0.001163
1971,0.000005,0.000921
1972,0.000003,0.000851
1973,0.000004,0.000758
1974,0.000004,0.000682
1975,0.000005,0.000673
1976,0.000005,0.000558
1977,0.000004,0.000474
1978,0.000004,0.000459
1979,0.000003,0.000452
1980,0.000003,0.000444
1981,0.000001,0.000412
1982,0.000003,0.000424
1983,0.000005,0.000462
1984,0.000004,0.000445
1985,0.000005,0.000476
1986,0.000004,0.000444
1987,0.000004,0.000443
1988,0.000003,0.000433
1989,0.000003,0.000423
1990,0.000002,0.000381
1991,0.000002,0.000335
1992,0.000002,0.000345
1993,0.000002,0.000380
1994,0.000003,0.000389
1995,0.000000,0.000352
1996,0.000000,0.000312
1997,0.000000,0.000281
1998,0.000001,0.000279
1999,0.000000,0.000279
2000,0.000000,0.000266
2001,0.000000,0.000254
2002,0.000000,0.000259
2003,0.000000,0.000257
2004,0.000000,0.000233
2005,0.000000,0.000225
2006,0.000000,0.000209
2007,0.000000,0.000219
2008,0.000000,0.000203
2009,0.000000,0.000200
2010,0.000000,0.000188
2011,0.000000,0.000187
2012,0.000000,0.000183
2013,0.000000,0.000164
