year,Dominica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,6
1911,13
1912,9
1913,10
1914,11
1915,20
1916,33
1917,16
1918,25
1919,24
1920,20
1921,16
1922,25
1923,24
1924,18
1925,17
1926,20
1927,21
1928,19
1929,14
1930,14
1931,12
1932,16
1933,12
1934,12
1935,13
1936,11
1937,9
1938,9
1939,5
1940,9
1941,5
1942,9
1943,8
1944,0
1945,6
1946,0
1947,8
1948,0
1949,7
1950,6
1951,0
1952,0
1953,0
1954,5
1955,0
1956,6
1957,10
1958,7
1959,8
1960,8
1961,6
1962,16
1963,20
1964,14
1965,24
1966,17
1967,31
1968,28
1969,23
1970,31
1971,21
1972,15
1973,24
1974,27
1975,32
1976,33
1977,26
1978,27
1979,56
1980,56
1981,39
1982,37
1983,40
1984,39
1985,50
1986,49
1987,48
1988,38
1989,55
1990,47
1991,45
1992,43
1993,41
1994,43
1995,37
1996,29
1997,39
1998,36
1999,32
2000,24
2001,30
2002,25
2003,28
2004,23
2005,18
2006,19
2007,18
2008,24
2009,21
2010,22
2011,13
2012,11
