year,Deryck
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,7
1963,0
1964,0
1965,10
1966,6
1967,5
1968,10
1969,6
1970,11
1971,6
1972,8
1973,12
1974,10
1975,6
1976,9
1977,8
1978,6
1979,8
1980,12
1981,13
1982,7
1983,13
1984,9
1985,9
1986,8
1987,8
1988,7
1989,14
1990,14
1991,14
1992,15
1993,11
1994,12
1995,12
1996,14
1997,14
1998,10
1999,12
2000,11
2001,8
2002,11
2003,15
2004,15
2005,17
2006,14
2007,9
2008,7
2009,18
2010,10
2011,10
2012,8
