year,Darryl (F),Darryl (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000005
1914,0.000000,0.000006
1915,0.000000,0.000003
1916,0.000000,0.000003
1917,0.000000,0.000003
1918,0.000000,0.000004
1919,0.000000,0.000003
1920,0.000000,0.000000
1921,0.000000,0.000002
1922,0.000000,0.000003
1923,0.000000,0.000003
1924,0.000000,0.000005
1925,0.000000,0.000007
1926,0.000000,0.000007
1927,0.000000,0.000009
1928,0.000000,0.000007
1929,0.000000,0.000010
1930,0.000000,0.000009
1931,0.000000,0.000009
1932,0.000000,0.000021
1933,0.000000,0.000036
1934,0.000000,0.000047
1935,0.000000,0.000065
1936,0.000003,0.000087
1937,0.000000,0.000105
1938,0.000006,0.000154
1939,0.000004,0.000194
1940,0.000003,0.000176
1941,0.000000,0.000171
1942,0.000004,0.000171
1943,0.000005,0.000142
1944,0.000006,0.000156
1945,0.000005,0.000177
1946,0.000005,0.000203
1947,0.000007,0.000229
1948,0.000005,0.000242
1949,0.000009,0.000246
1950,0.000004,0.000289
1951,0.000005,0.000291
1952,0.000007,0.000290
1953,0.000006,0.000329
1954,0.000007,0.000335
1955,0.000006,0.000356
1956,0.000007,0.000359
1957,0.000005,0.000428
1958,0.000006,0.000442
1959,0.000006,0.000667
1960,0.000011,0.001068
1961,0.000011,0.001238
1962,0.000009,0.001230
1963,0.000012,0.001267
1964,0.000009,0.001137
1965,0.000010,0.001358
1966,0.000012,0.001098
1967,0.000009,0.000832
1968,0.000007,0.000612
1969,0.000004,0.000459
1970,0.000004,0.000379
1971,0.000003,0.000310
1972,0.000004,0.000288
1973,0.000003,0.000260
1974,0.000002,0.000233
1975,0.000003,0.000224
1976,0.000002,0.000232
1977,0.000002,0.000218
1978,0.000004,0.000229
1979,0.000003,0.000229
1980,0.000002,0.000247
1981,0.000003,0.000271
1982,0.000004,0.000281
1983,0.000004,0.000281
1984,0.000003,0.000309
1985,0.000005,0.000316
1986,0.000005,0.000302
1987,0.000008,0.000298
1988,0.000003,0.000292
1989,0.000004,0.000294
1990,0.000003,0.000267
1991,0.000002,0.000257
1992,0.000003,0.000207
1993,0.000005,0.000187
1994,0.000003,0.000170
1995,0.000003,0.000147
1996,0.000003,0.000143
1997,0.000002,0.000135
1998,0.000002,0.000114
1999,0.000002,0.000106
2000,0.000000,0.000102
2001,0.000002,0.000092
2002,0.000000,0.000089
2003,0.000000,0.000074
2004,0.000000,0.000073
2005,0.000000,0.000068
2006,0.000000,0.000068
2007,0.000000,0.000061
2008,0.000000,0.000075
2009,0.000000,0.000062
2010,0.000000,0.000058
2011,0.000002,0.000057
2012,0.000000,0.000058
2013,0.000000,0.000052
2014,0.000000,0.000048
2015,0.000000,0.000052
2016,0.000000,0.000050
2017,0.000000,0.000038
2018,0.000000,0.000039
2019,0.000000,0.000038
2020,0.000000,0.000034
