year,Dorothey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,6
1914,14
1915,16
1916,25
1917,22
1918,29
1919,29
1920,31
1921,28
1922,40
1923,37
1924,36
1925,46
1926,44
1927,35
1928,37
1929,25
1930,39
1931,25
1932,33
1933,27
1934,24
1935,30
1936,31
1937,27
1938,28
1939,25
1940,15
1941,18
1942,30
1943,32
1944,18
1945,21
1946,27
1947,22
1948,14
1949,14
1950,14
1951,20
1952,14
1953,10
1954,12
1955,8
1956,7
1957,14
1958,5
1959,0
1960,8
1961,9
1962,8
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
