year,Diedre
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,11
1945,14
1946,22
1947,34
1948,32
1949,26
1950,28
1951,26
1952,24
1953,21
1954,21
1955,15
1956,29
1957,24
1958,29
1959,39
1960,57
1961,70
1962,52
1963,62
1964,88
1965,47
1966,56
1967,55
1968,50
1969,63
1970,45
1971,56
1972,36
1973,35
1974,35
1975,34
1976,28
1977,44
1978,30
1979,23
1980,33
1981,30
1982,32
1983,28
1984,25
1985,30
1986,27
1987,24
1988,25
1989,24
1990,22
1991,26
1992,32
1993,14
1994,20
1995,11
1996,9
1997,11
1998,5
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
