year,Delisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,13
1953,20
1954,19
1955,30
1956,30
1957,43
1958,51
1959,61
1960,87
1961,93
1962,101
1963,128
1964,128
1965,145
1966,127
1967,132
1968,122
1969,88
1970,127
1971,91
1972,74
1973,73
1974,74
1975,52
1976,57
1977,59
1978,43
1979,55
1980,46
1981,41
1982,48
1983,52
1984,42
1985,51
1986,41
1987,68
1988,125
1989,85
1990,79
1991,70
1992,45
1993,37
1994,34
1995,15
1996,19
1997,30
1998,21
1999,15
2000,11
2001,16
2002,10
2003,7
2004,8
2005,22
2006,10
2007,6
2008,11
2009,5
2010,0
2011,5
2012,0
